t (ms),a_x,a_y,a_z,g_x,g_y,g_z,ag_x,ag_y,ag_z,SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
115362,-6.055,1.793,-7.479,-0.011,-0.034,-0.017,-0.617,0.183,-0.763,0.998,0.04,0.442,0.019,-0.0,-0.0,0.0,0.0,-0.0,0.0,2.237,1.386,2.441,-0.65,-0.617,-0.68,0.185,0.192,0.176,-0.733,-0.706,-0.763,-0.007,0.01,-0.035,-0.077,-0.019,-0.148,-0.004,0.015,-0.026,1.568,0.099,0.65,0.185,0.734,0.015,0.087,0.013,0.021,0.003,0.019,0.011,0.032,0.01,0.001,0.0,0.0,0.0,0.002,0.0,0.023,0.004,0.021,0.013,0.041,0.012,0.04,0.003,0.035,0.018,0.042,0.014,-6.497,1.847,-7.334,-0.074,-0.766,-0.04,4.226,0.341,5.383,0.002,0.075,0.002
115465,-6.098,1.726,-7.47,-0.022,-0.059,-0.008,-0.622,0.176,-0.762,0.999,0.063,0.437,0.022,-0.0,0.0,0.0,-0.0,-0.0,0.0,2.243,1.394,2.438,-0.65,-0.617,-0.68,0.185,0.192,0.176,-0.733,-0.706,-0.763,-0.007,0.01,-0.035,-0.077,-0.019,-0.148,-0.004,0.015,-0.026,1.568,0.099,0.65,0.185,0.734,0.015,0.087,0.013,0.021,0.003,0.019,0.011,0.032,0.01,0.001,0.0,0.0,0.0,0.002,0.0,0.023,0.004,0.021,0.013,0.041,0.012,0.04,0.003,0.035,0.018,0.042,0.014,0.057,-0.006,-0.054,-0.029,0.21,-0.012,4.226,0.341,5.383,0.002,0.075,0.002
115568,-6.122,1.827,-7.42,-0.035,-0.073,-0.01,-0.624,0.186,-0.757,0.999,0.082,0.445,0.029,-0.0,0.0,0.0,0.0,-0.0,-0.0,2.246,1.383,2.431,-0.65,-0.617,-0.68,0.185,0.192,0.176,-0.733,-0.706,-0.763,-0.007,0.01,-0.035,-0.077,-0.019,-0.148,-0.004,0.015,-0.026,1.568,0.099,0.65,0.185,0.734,0.015,0.087,0.013,0.021,0.003,0.019,0.011,0.032,0.01,0.001,0.0,0.0,0.0,0.002,0.0,0.023,0.004,0.021,0.013,0.041,0.012,0.04,0.003,0.035,0.018,0.042,0.014,0.012,-0.014,-0.02,0.007,0.054,0.023,4.226,0.341,5.383,0.002,0.075,0.002
115671,-6.199,1.817,-7.305,-0.015,-0.148,-0.026,-0.632,0.185,-0.745,0.994,0.151,0.443,0.039,-0.0,-0.0,0.0,0.0,-0.0,0.0,2.26,1.384,2.418,-0.65,-0.617,-0.68,0.185,0.192,0.176,-0.733,-0.706,-0.763,-0.007,0.01,-0.035,-0.077,-0.019,-0.148,-0.004,0.015,-0.026,1.568,0.099,0.65,0.185,0.734,0.015,0.087,0.013,0.021,0.003,0.019,0.011,0.032,0.01,0.001,0.0,0.0,0.0,0.002,0.0,0.023,0.004,0.021,0.013,0.041,0.012,0.04,0.003,0.035,0.018,0.042,0.014,0.047,0.0,-0.033,0.024,-0.078,-0.042,4.226,0.341,5.383,0.002,0.075,0.002
115773,-6.388,1.805,-7.137,-0.003,-0.143,-0.007,-0.651,0.184,-0.728,0.994,0.143,0.443,0.014,-0.0,0.0,0.0,0.0,0.0,0.0,2.285,1.385,2.393,-0.65,-0.617,-0.68,0.185,0.192,0.176,-0.733,-0.706,-0.763,-0.007,0.01,-0.035,-0.077,-0.019,-0.148,-0.004,0.015,-0.026,1.568,0.099,0.65,0.185,0.734,0.015,0.087,0.013,0.021,0.003,0.019,0.011,0.032,0.01,0.001,0.0,0.0,0.0,0.002,0.0,0.023,0.004,0.021,0.013,0.041,0.012,0.04,0.003,0.035,0.018,0.042,0.014,0.031,0.013,-0.028,-0.023,0.024,-0.033,4.226,0.341,5.383,0.002,0.075,0.002
115876,-6.517,1.822,-7.089,-0.01,-0.088,0.005,-0.665,0.186,-0.723,1.0,0.089,0.447,0.016,-0.0,-0.0,0.0,0.0,0.0,0.0,2.298,1.384,2.379,-0.65,-0.617,-0.68,0.185,0.192,0.176,-0.733,-0.706,-0.763,-0.007,0.01,-0.035,-0.077,-0.019,-0.148,-0.004,0.015,-0.026,1.568,0.099,0.65,0.185,0.734,0.015,0.087,0.013,0.021,0.003,0.019,0.011,0.032,0.01,0.001,0.0,0.0,0.0,0.002,0.0,0.023,0.004,0.021,0.013,0.041,0.012,0.04,0.003,0.035,0.018,0.042,0.014,0.033,-0.003,-0.026,0.006,0.006,-0.002,4.226,0.341,5.383,0.002,0.075,0.002
115978,-6.498,1.776,-7.099,0.01,-0.088,0.011,-0.663,0.181,-0.724,0.998,0.089,0.443,0.021,-0.0,0.0,0.0,0.0,0.0,-0.0,2.297,1.388,2.382,-0.65,-0.617,-0.68,0.185,0.192,0.176,-0.733,-0.706,-0.763,-0.007,0.01,-0.035,-0.077,-0.019,-0.148,-0.004,0.015,-0.026,1.568,0.099,0.65,0.185,0.734,0.015,0.087,0.013,0.021,0.003,0.019,0.011,0.032,0.01,0.001,0.0,0.0,0.0,0.002,0.0,0.023,0.004,0.021,0.013,0.041,0.012,0.04,0.003,0.035,0.018,0.042,0.014,0.031,0.013,-0.028,-0.023,0.024,-0.033,4.226,0.341,5.383,0.002,0.075,0.002
116081,-6.536,1.884,-7.044,0.005,-0.072,-0.005,-0.666,0.192,-0.718,0.998,0.072,0.451,0.012,-0.0,0.0,0.0,-0.0,0.0,-0.0,2.301,1.377,2.374,-0.65,-0.617,-0.68,0.185,0.192,0.176,-0.733,-0.706,-0.763,-0.007,0.01,-0.035,-0.077,-0.019,-0.148,-0.004,0.015,-0.026,1.568,0.099,0.65,0.185,0.734,0.015,0.087,0.013,0.021,0.003,0.019,0.011,0.032,0.01,0.001,0.0,0.0,0.0,0.002,0.0,0.023,0.004,0.021,0.013,0.041,0.012,0.04,0.003,0.035,0.018,0.042,0.014,0.047,0.0,-0.033,0.024,-0.078,-0.042,4.226,0.341,5.383,0.002,0.075,0.002
116184,-6.639,1.839,-6.943,0.005,-0.042,0.002,-0.677,0.188,-0.708,0.997,0.042,0.448,0.007,-0.0,-0.0,0.0,-0.0,0.0,0.0,2.317,1.381,2.36,-0.65,-0.617,-0.68,0.185,0.192,0.176,-0.733,-0.706,-0.763,-0.007,0.01,-0.035,-0.077,-0.019,-0.148,-0.004,0.015,-0.026,1.568,0.099,0.65,0.185,0.734,0.015,0.087,0.013,0.021,0.003,0.019,0.011,0.032,0.01,0.001,0.0,0.0,0.0,0.002,0.0,0.023,0.004,0.021,0.013,0.041,0.012,0.04,0.003,0.035,0.018,0.042,0.014,0.012,-0.014,-0.02,0.007,0.054,0.023,4.226,0.341,5.383,0.002,0.075,0.002
116287,-6.67,1.82,-6.919,0.002,-0.019,0.015,-0.68,0.186,-0.706,0.998,0.024,0.447,0.008,0.0,-0.0,0.0,0.0,0.0,0.0,2.321,1.383,2.357,-0.65,-0.617,-0.68,0.185,0.192,0.176,-0.733,-0.706,-0.763,-0.007,0.01,-0.035,-0.077,-0.019,-0.148,-0.004,0.015,-0.026,1.568,0.099,0.65,0.185,0.734,0.015,0.087,0.013,0.021,0.003,0.019,0.011,0.032,0.01,0.001,0.0,0.0,0.0,0.002,0.0,0.023,0.004,0.021,0.013,0.041,0.012,0.04,0.003,0.035,0.018,0.042,0.014,0.057,-0.006,-0.054,-0.029,0.21,-0.012,4.226,0.341,5.383,0.002,0.075,0.002
