t (ms),a_x,a_y,a_z,g_x,g_y,g_z,ag_x,ag_y,ag_z,SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
402342,-4.752,2.152,-8.205,-0.021,0.037,-0.021,-0.485,0.219,-0.837,0.992,0.047,0.446,0.025,0.0,0.0,-0.0,-0.0,0.0,-0.0,2.082,1.348,2.575,-0.476,-0.471,-0.485,0.224,0.227,0.219,-0.839,-0.835,-0.842,-0.023,-0.003,-0.036,0.03,0.049,0.015,-0.024,-0.017,-0.035,1.54,0.078,0.476,0.224,0.839,0.025,0.032,0.025,0.003,0.002,0.002,0.007,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.009,0.01,0.006,0.004,0.004,0.004,0.01,0.012,0.005,-4.761,2.244,-8.392,-0.232,0.303,-0.242,2.267,0.504,7.043,0.006,0.01,0.006
402444,-4.681,2.179,-8.193,-0.027,0.045,-0.035,-0.477,0.222,-0.835,0.987,0.063,0.446,0.035,0.0,0.0,-0.0,-0.0,0.0,-0.0,2.075,1.344,2.579,-0.476,-0.471,-0.485,0.224,0.227,0.219,-0.839,-0.835,-0.842,-0.023,-0.003,-0.036,0.03,0.049,0.015,-0.024,-0.017,-0.035,1.54,0.078,0.476,0.224,0.839,0.025,0.032,0.025,0.003,0.002,0.002,0.007,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.009,0.01,0.006,0.004,0.004,0.004,0.01,0.012,0.005,-0.004,-0.005,0.004,0.014,0.026,-0.017,2.267,0.504,7.043,0.006,0.01,0.006
402546,-4.681,2.212,-8.222,-0.025,0.049,-0.034,-0.477,0.226,-0.838,0.99,0.065,0.449,0.035,0.0,0.0,-0.0,-0.0,-0.0,0.0,2.073,1.341,2.579,-0.476,-0.471,-0.485,0.224,0.227,0.219,-0.839,-0.835,-0.842,-0.023,-0.003,-0.036,0.03,0.049,0.015,-0.024,-0.017,-0.035,1.54,0.078,0.476,0.224,0.839,0.025,0.032,0.025,0.003,0.002,0.002,0.007,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.009,0.01,0.006,0.004,0.004,0.004,0.01,0.012,0.005,-0.014,-0.007,0.007,-0.016,-0.008,0.006,2.267,0.504,7.043,0.006,0.01,0.006
402649,-4.626,2.188,-8.26,-0.036,0.029,-0.027,-0.472,0.223,-0.842,0.991,0.054,0.446,0.03,0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.067,1.344,2.587,-0.476,-0.471,-0.485,0.224,0.227,0.219,-0.839,-0.835,-0.842,-0.023,-0.003,-0.036,0.03,0.049,0.015,-0.024,-0.017,-0.035,1.54,0.078,0.476,0.224,0.839,0.025,0.032,0.025,0.003,0.002,0.002,0.007,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.009,0.01,0.006,0.004,0.004,0.004,0.01,0.012,0.005,-0.01,-0.01,-0.0,0.011,-0.014,0.015,2.267,0.504,7.043,0.006,0.01,0.006
402752,-4.673,2.184,-8.246,-0.03,0.022,-0.019,-0.477,0.223,-0.841,0.992,0.042,0.447,0.023,-0.0,0.0,0.0,0.0,0.0,0.0,2.072,1.344,2.582,-0.476,-0.471,-0.485,0.224,0.227,0.219,-0.839,-0.835,-0.842,-0.023,-0.003,-0.036,0.03,0.049,0.015,-0.024,-0.017,-0.035,1.54,0.078,0.476,0.224,0.839,0.025,0.032,0.025,0.003,0.002,0.002,0.007,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.009,0.01,0.006,0.004,0.004,0.004,0.01,0.012,0.005,-0.006,-0.005,-0.001,0.002,0.024,0.007,2.267,0.504,7.043,0.006,0.01,0.006
402855,-4.657,2.205,-8.229,-0.031,0.03,-0.022,-0.475,0.225,-0.839,0.99,0.048,0.448,0.027,-0.0,0.0,0.0,0.0,0.0,-0.0,2.071,1.342,2.582,-0.476,-0.471,-0.485,0.224,0.227,0.219,-0.839,-0.835,-0.842,-0.023,-0.003,-0.036,0.03,0.049,0.015,-0.024,-0.017,-0.035,1.54,0.078,0.476,0.224,0.839,0.025,0.032,0.025,0.003,0.002,0.002,0.007,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.009,0.01,0.006,0.004,0.004,0.004,0.01,0.012,0.005,-0.021,0.0,0.002,0.0,0.011,0.008,2.267,0.504,7.043,0.006,0.01,0.006
402958,-4.695,2.231,-8.212,-0.022,0.022,-0.022,-0.479,0.227,-0.837,0.991,0.038,0.45,0.022,0.0,-0.0,-0.0,0.0,-0.0,0.0,2.075,1.34,2.577,-0.476,-0.471,-0.485,0.224,0.227,0.219,-0.839,-0.835,-0.842,-0.023,-0.003,-0.036,0.03,0.049,0.015,-0.024,-0.017,-0.035,1.54,0.078,0.476,0.224,0.839,0.025,0.032,0.025,0.003,0.002,0.002,0.007,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.009,0.01,0.006,0.004,0.004,0.004,0.01,0.012,0.005,-0.006,-0.005,-0.001,0.002,0.024,0.007,2.267,0.504,7.043,0.006,0.01,0.006
403060,-4.657,2.203,-8.238,-0.003,0.027,-0.017,-0.475,0.225,-0.84,0.991,0.032,0.448,0.011,0.0,-0.0,-0.0,0.0,0.0,0.0,2.071,1.342,2.582,-0.476,-0.471,-0.485,0.224,0.227,0.219,-0.839,-0.835,-0.842,-0.023,-0.003,-0.036,0.03,0.049,0.015,-0.024,-0.017,-0.035,1.54,0.078,0.476,0.224,0.839,0.025,0.032,0.025,0.003,0.002,0.002,0.007,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.009,0.01,0.006,0.004,0.004,0.004,0.01,0.012,0.005,-0.01,-0.01,-0.0,0.011,-0.014,0.015,2.267,0.504,7.043,0.006,0.01,0.006
403163,-4.642,2.229,-8.258,-0.018,0.027,-0.021,-0.473,0.227,-0.842,0.992,0.039,0.449,0.022,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2.068,1.34,2.584,-0.476,-0.471,-0.485,0.224,0.227,0.219,-0.839,-0.835,-0.842,-0.023,-0.003,-0.036,0.03,0.049,0.015,-0.024,-0.017,-0.035,1.54,0.078,0.476,0.224,0.839,0.025,0.032,0.025,0.003,0.002,0.002,0.007,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.009,0.01,0.006,0.004,0.004,0.004,0.01,0.012,0.005,-0.014,-0.007,0.007,-0.016,-0.008,0.006,2.267,0.504,7.043,0.006,0.01,0.006
403266,-4.623,2.227,-8.246,-0.019,0.015,-0.024,-0.471,0.227,-0.841,0.99,0.034,0.448,0.019,0.0,-0.0,-0.0,0.0,-0.0,0.0,2.066,1.34,2.585,-0.476,-0.471,-0.485,0.224,0.227,0.219,-0.839,-0.835,-0.842,-0.023,-0.003,-0.036,0.03,0.049,0.015,-0.024,-0.017,-0.035,1.54,0.078,0.476,0.224,0.839,0.025,0.032,0.025,0.003,0.002,0.002,0.007,0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.002,0.009,0.01,0.006,0.004,0.004,0.004,0.01,0.012,0.005,-0.004,-0.005,0.004,0.014,0.026,-0.017,2.267,0.504,7.043,0.006,0.01,0.006
