time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
17444,-9.828,-0.048,1.851,-0.005,0.011,-0.02
17547,-9.835,-0.053,1.846,-0.004,0.012,-0.02
17650,-9.826,-0.062,1.829,-0.004,0.012,-0.02
17753,-9.826,-0.048,1.836,-0.005,0.012,-0.02
17856,-9.843,-0.055,1.851,-0.005,0.012,-0.02
17959,-9.826,-0.053,1.832,-0.005,0.012,-0.02
18062,-9.838,-0.06,1.836,-0.005,0.011,-0.02
18165,-9.838,-0.055,1.834,-0.004,0.012,-0.02
18268,-9.838,-0.057,1.841,-0.005,0.011,-0.019
18371,-9.833,-0.065,1.832,-0.004,0.012,-0.02
18474,-9.831,-0.053,1.841,-0.005,0.011,-0.02
18577,-9.835,-0.048,1.846,-0.004,0.012,-0.02
18680,-9.833,-0.05,1.846,-0.004,0.011,-0.02
18783,-9.84,-0.06,1.829,-0.004,0.012,-0.021
18886,-9.831,-0.048,1.851,-0.005,0.012,-0.019
18989,-9.819,-0.053,1.848,-0.004,0.012,-0.019
19092,-9.833,-0.05,1.87,-0.005,0.011,-0.02
19195,-9.831,-0.045,1.839,-0.004,0.013,-0.019
19298,-9.84,-0.057,1.834,-0.004,0.012,-0.02
19401,-9.828,-0.045,1.832,-0.005,0.012,-0.02
19504,-9.826,-0.045,1.841,-0.005,0.012,-0.02
19607,-9.838,-0.057,1.848,-0.005,0.013,-0.02
19710,-9.845,-0.055,1.841,-0.005,0.012,-0.02
19813,-9.838,-0.048,1.841,-0.004,0.012,-0.02
19916,-9.833,-0.06,1.846,-0.005,0.012,-0.02
20019,-9.831,-0.055,1.846,-0.005,0.012,-0.02
20122,-9.833,-0.043,1.844,-0.004,0.012,-0.02
20225,-9.831,-0.053,1.829,-0.004,0.012,-0.019
20328,-9.838,-0.055,1.848,-0.004,0.012,-0.02
20431,-9.828,-0.05,1.834,-0.004,0.012,-0.02
20534,-9.826,-0.057,1.848,-0.004,0.012,-0.02
20637,-9.835,-0.053,1.834,-0.004,0.012,-0.02
20740,-9.835,-0.06,1.846,-0.005,0.011,-0.02
20843,-9.838,-0.055,1.841,-0.005,0.012,-0.019
20946,-9.823,-0.06,1.829,-0.004,0.012,-0.02
21049,-9.831,-0.053,1.832,-0.004,0.012,-0.02
21152,-9.828,-0.055,1.846,-0.005,0.011,-0.02
21255,-9.831,-0.05,1.841,-0.004,0.012,-0.02
21358,-9.838,-0.057,1.841,-0.005,0.012,-0.019
21461,-9.835,-0.053,1.839,-0.004,0.012,-0.02
21564,-9.828,-0.045,1.827,-0.004,0.012,-0.02
21667,-9.833,-0.057,1.846,-0.004,0.012,-0.02
21770,-9.833,-0.045,1.822,-0.005,0.013,-0.02
21873,-9.833,-0.055,1.846,-0.004,0.012,-0.02
21976,-9.831,-0.053,1.848,-0.005,0.013,-0.02
22079,-9.828,-0.05,1.836,-0.005,0.012,-0.02
22182,-9.833,-0.053,1.836,-0.004,0.013,-0.02
22285,-9.843,-0.043,1.839,-0.004,0.012,-0.02
22388,-9.835,-0.057,1.832,-0.005,0.012,-0.02
22491,-9.833,-0.065,1.846,-0.005,0.012,-0.021
22594,-9.826,-0.06,1.841,-0.004,0.013,-0.019
22697,-9.828,-0.053,1.827,-0.005,0.012,-0.02
22800,-9.84,-0.057,1.824,-0.004,0.012,-0.02
22903,-9.831,-0.062,1.839,-0.004,0.012,-0.019
23006,-9.833,-0.05,1.839,-0.004,0.012,-0.02
23109,-9.833,-0.065,1.834,-0.004,0.012,-0.02
23212,-9.835,-0.048,1.832,-0.004,0.012,-0.02
23315,-9.833,-0.065,1.846,-0.005,0.012,-0.02
23418,-9.831,-0.053,1.839,-0.004,0.012,-0.02
23521,-9.838,-0.057,1.82,-0.005,0.012,-0.02
23624,-9.831,-0.065,1.827,-0.004,0.011,-0.02
23727,-9.831,-0.06,1.839,-0.004,0.012,-0.019
23830,-9.835,-0.057,1.839,-0.004,0.012,-0.02
23933,-9.838,-0.057,1.836,-0.005,0.012,-0.02
24036,-9.84,-0.055,1.863,-0.005,0.012,-0.019
24139,-9.823,-0.057,1.822,-0.004,0.012,-0.02
24242,-9.84,-0.06,1.848,-0.004,0.011,-0.02
24345,-9.826,-0.045,1.841,-0.004,0.012,-0.02
24448,-9.826,-0.06,1.834,-0.005,0.012,-0.02
24551,-9.831,-0.057,1.841,-0.005,0.012,-0.019
24654,-9.823,-0.045,1.853,-0.004,0.012,-0.02
24757,-9.819,-0.041,1.836,-0.005,0.012,-0.02
24860,-9.838,-0.055,1.829,-0.005,0.012,-0.02
24963,-9.838,-0.048,1.829,-0.005,0.011,-0.02
25066,-9.833,-0.05,1.851,-0.005,0.012,-0.019
25169,-9.835,-0.05,1.846,-0.004,0.012,-0.02
25272,-9.843,-0.06,1.834,-0.005,0.012,-0.02
25375,-9.826,-0.05,1.841,-0.005,0.012,-0.02
25478,-9.828,-0.055,1.846,-0.004,0.012,-0.02
25581,-9.833,-0.057,1.858,-0.004,0.012,-0.019
25684,-9.826,-0.053,1.824,-0.005,0.012,-0.02
25787,-9.826,-0.06,1.846,-0.004,0.012,-0.02
25890,-9.831,-0.05,1.836,-0.005,0.011,-0.02
25993,-9.828,-0.06,1.829,-0.005,0.012,-0.02
26096,-9.831,-0.045,1.841,-0.005,0.012,-0.02
26199,-9.826,-0.055,1.832,-0.004,0.012,-0.02
26302,-9.828,-0.05,1.834,-0.005,0.011,-0.02
26405,-9.833,-0.062,1.834,-0.005,0.012,-0.02
26508,-9.838,-0.062,1.836,-0.005,0.012,-0.019
26611,-9.833,-0.057,1.829,-0.005,0.011,-0.02
26714,-9.833,-0.057,1.827,-0.005,0.011,-0.02
26817,-9.835,-0.057,1.834,-0.005,0.012,-0.02
26920,-9.828,-0.053,1.824,-0.004,0.012,-0.02
27023,-9.838,-0.062,1.841,-0.004,0.012,-0.02
27126,-9.826,-0.055,1.834,-0.004,0.012,-0.02
27229,-9.826,-0.057,1.836,-0.004,0.012,-0.019
27332,-9.833,-0.062,1.827,-0.005,0.012,-0.02
27435,-9.826,-0.048,1.848,-0.005,0.012,-0.02
27538,-9.828,-0.053,1.822,-0.004,0.012,-0.02
27641,-9.826,-0.06,1.824,-0.004,0.012,-0.02
27744,-9.823,-0.055,1.846,-0.005,0.012,-0.02
27847,-9.838,-0.055,1.853,-0.005,0.011,-0.02
27950,-9.835,-0.065,1.839,-0.004,0.011,-0.019
28053,-9.831,-0.06,1.848,-0.004,0.012,-0.02
28156,-9.84,-0.065,1.851,-0.004,0.012,-0.02
28259,-9.831,-0.057,1.848,-0.004,0.012,-0.02
28362,-9.84,-0.055,1.836,-0.005,0.012,-0.02
28465,-9.826,-0.057,1.839,-0.004,0.012,-0.02
28568,-9.826,-0.055,1.832,-0.005,0.011,-0.02
28671,-9.835,-0.045,1.844,-0.004,0.012,-0.02
28774,-9.823,-0.048,1.846,-0.005,0.012,-0.02
28877,-9.835,-0.062,1.836,-0.005,0.012,-0.02
28980,-9.831,-0.053,1.834,-0.005,0.012,-0.02
29083,-9.826,-0.048,1.832,-0.005,0.012,-0.02
29186,-9.828,-0.055,1.822,-0.005,0.013,-0.019
29289,-9.831,-0.06,1.844,-0.005,0.012,-0.02
29392,-9.843,-0.053,1.836,-0.005,0.012,-0.02
29495,-9.831,-0.048,1.822,-0.004,0.012,-0.019
29598,-9.821,-0.053,1.846,-0.005,0.012,-0.019
29701,-9.828,-0.055,1.851,-0.004,0.011,-0.02
29804,-9.821,-0.055,1.832,-0.005,0.012,-0.02
29907,-9.835,-0.055,1.832,-0.005,0.012,-0.02
30010,-9.833,-0.062,1.827,-0.005,0.012,-0.02
30113,-9.826,-0.048,1.832,-0.005,0.012,-0.02
30216,-9.828,-0.053,1.832,-0.005,0.012,-0.02
30319,-9.835,-0.06,1.832,-0.005,0.012,-0.02
30422,-9.835,-0.053,1.839,-0.005,0.012,-0.019
30525,-9.84,-0.057,1.844,-0.005,0.012,-0.02
30628,-9.828,-0.055,1.846,-0.004,0.012,-0.02
30731,-9.831,-0.057,1.834,-0.004,0.012,-0.02
30834,-9.835,-0.053,1.846,-0.005,0.011,-0.02
30937,-9.823,-0.06,1.836,-0.005,0.012,-0.02
31040,-9.838,-0.055,1.834,-0.004,0.012,-0.019
31143,-9.835,-0.045,1.824,-0.005,0.012,-0.02
31246,-9.838,-0.084,1.793,-0.004,0.012,-0.02
31349,-9.823,-0.043,1.832,-0.005,0.013,-0.02
31452,-9.826,-0.053,1.829,-0.005,0.012,-0.02
31555,-9.835,-0.06,1.827,-0.005,0.012,-0.02
31658,-9.828,-0.055,1.834,-0.005,0.011,-0.02
31761,-9.833,-0.055,1.832,-0.005,0.011,-0.02
31864,-9.833,-0.045,1.844,-0.004,0.012,-0.02
31967,-9.833,-0.057,1.844,-0.005,0.012,-0.02
32070,-9.84,-0.06,1.832,-0.005,0.012,-0.02
32173,-9.831,-0.065,1.834,-0.005,0.012,-0.02
32276,-9.835,-0.048,1.846,-0.005,0.013,-0.019
32379,-9.833,-0.05,1.841,-0.005,0.012,-0.02
32482,-9.826,-0.053,1.841,-0.005,0.011,-0.02
32585,-9.831,-0.06,1.832,-0.005,0.011,-0.02
32688,-9.826,-0.057,1.832,-0.005,0.012,-0.02
32791,-9.833,-0.057,1.848,-0.004,0.012,-0.02
32894,-9.835,-0.055,1.834,-0.005,0.012,-0.019
32997,-9.84,-0.057,1.839,-0.004,0.011,-0.02
33100,-9.833,-0.053,1.848,-0.004,0.012,-0.02
33203,-9.835,-0.069,1.844,-0.004,0.011,-0.021
33306,-9.843,-0.057,1.839,-0.004,0.014,-0.018
33409,-9.814,-0.038,1.827,-0.004,0.011,-0.021
33512,-9.843,-0.05,1.856,-0.005,0.012,-0.02
33615,-9.828,-0.045,1.817,-0.005,0.012,-0.02
33718,-9.831,-0.057,1.836,-0.005,0.012,-0.02
33821,-9.835,-0.062,1.829,-0.005,0.012,-0.02
33924,-9.833,-0.045,1.82,-0.005,0.012,-0.02
34027,-9.833,-0.053,1.832,-0.004,0.011,-0.02
34130,-9.828,-0.06,1.841,-0.005,0.011,-0.02
34233,-9.833,-0.057,1.827,-0.005,0.011,-0.02
34336,-9.835,-0.045,1.817,-0.005,0.012,-0.02
