time (ms),acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
25067,1.132,-0.285,-9.483,-0.007,0.012,-0.02
25170,1.128,-0.266,-9.481,-0.007,0.012,-0.019
25273,1.13,-0.268,-9.471,-0.007,0.012,-0.02
25376,1.125,-0.28,-9.474,-0.007,0.013,-0.02
25479,1.132,-0.283,-9.483,-0.007,0.012,-0.02
25582,1.128,-0.28,-9.467,-0.008,0.012,-0.02
25685,1.125,-0.283,-9.481,-0.007,0.012,-0.019
25788,1.125,-0.287,-9.476,-0.007,0.012,-0.019
25891,1.132,-0.283,-9.467,-0.008,0.012,-0.019
25994,1.123,-0.28,-9.479,-0.007,0.012,-0.019
26097,1.123,-0.271,-9.474,-0.007,0.013,-0.02
26200,1.135,-0.28,-9.462,-0.008,0.012,-0.019
26303,1.135,-0.283,-9.464,-0.008,0.012,-0.02
26406,1.13,-0.271,-9.471,-0.008,0.012,-0.02
26509,1.128,-0.271,-9.457,-0.007,0.012,-0.019
26612,1.118,-0.278,-9.469,-0.007,0.012,-0.02
26715,1.128,-0.283,-9.471,-0.008,0.012,-0.019
26818,1.128,-0.275,-9.467,-0.008,0.012,-0.02
26921,1.13,-0.283,-9.479,-0.008,0.012,-0.019
27024,1.128,-0.275,-9.474,-0.007,0.012,-0.019
27127,1.125,-0.28,-9.469,-0.007,0.012,-0.02
27230,1.13,-0.275,-9.467,-0.007,0.012,-0.019
27333,1.125,-0.28,-9.469,-0.007,0.012,-0.019
27436,1.128,-0.287,-9.476,-0.007,0.012,-0.02
27539,1.137,-0.283,-9.479,-0.008,0.013,-0.019
27642,1.135,-0.273,-9.483,-0.008,0.012,-0.02
27745,1.132,-0.283,-9.483,-0.008,0.012,-0.02
27848,1.132,-0.283,-9.469,-0.008,0.012,-0.019
27951,1.125,-0.275,-9.459,-0.007,0.012,-0.02
28054,1.13,-0.283,-9.476,-0.007,0.012,-0.019
28157,1.132,-0.278,-9.495,-0.008,0.012,-0.019
28260,1.13,-0.287,-9.488,-0.008,0.012,-0.019
28363,1.13,-0.285,-9.479,-0.007,0.012,-0.019
28466,1.125,-0.283,-9.476,-0.007,0.012,-0.019
28569,1.132,-0.29,-9.481,-0.007,0.012,-0.02
28672,1.123,-0.283,-9.474,-0.008,0.012,-0.019
28775,1.137,-0.28,-9.464,-0.008,0.012,-0.019
28878,1.125,-0.292,-9.486,-0.007,0.012,-0.019
28981,1.125,-0.292,-9.474,-0.008,0.012,-0.019
29084,1.125,-0.28,-9.471,-0.008,0.012,-0.019
29187,1.116,-0.273,-9.474,-0.008,0.012,-0.02
29290,1.118,-0.266,-9.464,-0.008,0.012,-0.019
29393,1.12,-0.28,-9.483,-0.007,0.012,-0.02
29496,1.135,-0.292,-9.457,-0.007,0.012,-0.02
29599,1.128,-0.278,-9.481,-0.007,0.012,-0.019
29702,1.128,-0.28,-9.481,-0.008,0.012,-0.019
29805,1.132,-0.28,-9.479,-0.008,0.012,-0.02
29908,1.12,-0.28,-9.474,-0.007,0.012,-0.019
30011,1.13,-0.283,-9.467,-0.007,0.012,-0.019
30114,1.132,-0.283,-9.462,-0.008,0.012,-0.02
30217,1.137,-0.278,-9.479,-0.007,0.011,-0.019
30320,1.132,-0.28,-9.467,-0.007,0.012,-0.02
30423,1.132,-0.278,-9.467,-0.007,0.012,-0.02
30526,1.125,-0.28,-9.479,-0.007,0.012,-0.019
30629,1.132,-0.287,-9.467,-0.008,0.013,-0.02
30732,1.13,-0.273,-9.462,-0.008,0.012,-0.02
30835,1.123,-0.278,-9.471,-0.007,0.012,-0.02
30938,1.135,-0.275,-9.464,-0.008,0.012,-0.019
31041,1.14,-0.278,-9.476,-0.007,0.012,-0.02
31144,1.137,-0.287,-9.479,-0.008,0.012,-0.02
31247,1.13,-0.273,-9.469,-0.008,0.012,-0.02
31350,1.14,-0.278,-9.476,-0.008,0.012,-0.02
31453,1.13,-0.287,-9.462,-0.008,0.012,-0.02
31556,1.13,-0.28,-9.481,-0.007,0.012,-0.02
31659,1.13,-0.278,-9.467,-0.008,0.012,-0.019
31762,1.13,-0.283,-9.469,-0.008,0.012,-0.02
31865,1.13,-0.283,-9.459,-0.007,0.012,-0.019
31968,1.13,-0.28,-9.469,-0.007,0.012,-0.019
32071,1.13,-0.283,-9.476,-0.008,0.012,-0.019
32174,1.123,-0.287,-9.462,-0.007,0.012,-0.02
32277,1.128,-0.28,-9.471,-0.007,0.012,-0.02
32380,1.13,-0.275,-9.459,-0.007,0.013,-0.02
32483,1.135,-0.275,-9.474,-0.008,0.012,-0.02
32586,1.123,-0.275,-9.474,-0.008,0.012,-0.02
32689,1.125,-0.283,-9.471,-0.008,0.012,-0.019
32792,1.135,-0.28,-9.462,-0.008,0.012,-0.019
32895,1.135,-0.28,-9.476,-0.008,0.012,-0.019
32998,1.135,-0.283,-9.471,-0.007,0.012,-0.019
33101,1.128,-0.283,-9.474,-0.008,0.011,-0.02
33204,1.123,-0.29,-9.469,-0.007,0.012,-0.02
33307,1.125,-0.273,-9.476,-0.007,0.013,-0.02
33410,1.128,-0.278,-9.471,-0.008,0.012,-0.019
33513,1.125,-0.285,-9.462,-0.008,0.012,-0.02
33616,1.128,-0.292,-9.462,-0.008,0.012,-0.02
33719,1.14,-0.278,-9.457,-0.008,0.012,-0.019
