jerk_z,ag_y_mean,ag_y_max,g_z_min,ag_z_max,RMS_ag_y,ag_z_mean,accl_z,g_y_min,g_x_max,SMA_g,ag_x_max,VAR_ag_z,RMS_g_y,STD_g_x,MAD_g_y,g_z_max,MAD_g_z,accl_y,g_y_max,ag_x_mean,STD_g_z,accl_x,IQR_g_y,IQR_g_z,g_x_mean,VAR_g_z,ag_y_min,VAR_g_x,STD_ag_z,th_z,MAD_g_x,RMS_ag_x,g_z_mean,IQR_ag_z,IQR_g_x,g_y_mean,ag_x_min,SVM_g,STD_ag_x,ag_z_min,RMS_g_z,VAR_g_y,STD_g_y,MAD_ag_z,RMS_ag_z,VAR_ag_x,th_y,FFT_ag_z,th_x,FFT_g_y,FFT_g_z,MAD_ag_x,E_ag_y,FFT_ag_x,FFT_g_x,IQR_ag_x,MAD_ag_y,CM_a,g_x_min,RMS_g_x,IQR_ag_y,SVM_a,STD_ag_y,E_ag_x,jerk_y,E_ag_z,SMA_a,E_g_y,FFT_ag_y,VAR_ag_y,E_g_x,CM_g,jerk_x,E_g_z
-0.0,0.227,0.238,-0.032,-0.382,0.227,-0.39,-0.0,-0.022,0.002,0.048,-0.884,0.0,0.012,0.009,0.007,-0.013,0.006,-0.0,0.021,-0.894,0.006,0.0,0.004,0.011,-0.012,0.0,0.222,0.0,0.005,1.969,0.007,0.894,-0.024,0.004,0.011,0.006,-0.9,0.03,0.005,-0.402,0.025,0.0,0.011,0.004,0.39,0.0,1.344,-0.028,2.678,-0.013,-0.021,0.004,0.514,0.028,0.013,0.006,0.003,0.428,-0.026,0.015,0.004,1.003,0.004,7.998,-0.0,1.517,1.51,0.002,0.017,0.0,0.002,0.014,0.0,0.006
0.0,0.22,0.223,-0.03,-0.38,0.22,-0.384,0.0,-0.001,-0.001,0.048,-0.897,0.0,0.015,0.009,0.008,-0.01,0.006,-0.0,0.024,-0.899,0.007,-0.0,0.015,0.01,-0.014,0.0,0.217,0.0,0.002,1.965,0.007,0.899,-0.022,0.002,0.01,0.012,-0.902,0.031,0.002,-0.386,0.023,0.0,0.009,0.002,0.384,0.0,1.35,0.0,2.684,-0.001,-0.044,0.001,0.483,0.003,-0.033,0.002,0.002,0.423,-0.031,0.017,0.003,1.002,0.002,8.087,-0.0,1.475,1.503,0.002,0.006,0.0,0.003,0.011,-0.0,0.005
-0.0,0.219,0.223,-0.017,-0.383,0.219,-0.39,0.0,0.006,0.006,0.042,-0.89,0.0,0.022,0.007,0.007,-0.002,0.004,0.0,0.05,-0.897,0.005,0.0,0.006,0.004,-0.01,0.0,0.216,0.0,0.005,1.97,0.005,0.897,-0.013,0.005,0.005,0.019,-0.905,0.024,0.004,-0.398,0.013,0.0,0.011,0.004,0.39,0.0,1.351,0.011,2.678,0.029,-0.004,0.003,0.48,-0.011,0.023,0.003,0.002,0.425,-0.02,0.012,0.004,1.002,0.002,8.039,-0.0,1.522,1.506,0.005,-0.011,0.0,0.001,0.012,-0.0,0.002
-0.0,0.224,0.227,-0.022,-0.388,0.224,-0.395,0.0,0.003,-0.011,0.046,-0.887,0.0,0.02,0.002,0.008,-0.003,0.006,0.0,0.031,-0.893,0.006,0.0,0.014,0.01,-0.015,0.0,0.219,0.0,0.003,1.976,0.002,0.893,-0.012,0.003,0.003,0.018,-0.9,0.028,0.003,-0.402,0.014,0.0,0.009,0.003,0.395,0.0,1.344,0.019,2.672,0.034,0.006,0.003,0.502,-0.015,0.012,0.003,0.002,0.43,-0.019,0.015,0.003,1.002,0.003,7.971,0.0,1.559,1.512,0.004,-0.012,0.0,0.002,0.014,0.0,0.002
-0.0,0.226,0.228,-0.023,-0.392,0.226,-0.399,0.0,0.01,-0.012,0.05,-0.884,0.0,0.019,0.002,0.005,-0.011,0.004,0.0,0.027,-0.891,0.005,0.0,0.009,0.009,-0.015,0.0,0.224,0.0,0.004,1.982,0.002,0.891,-0.017,0.003,0.003,0.018,-0.897,0.031,0.004,-0.407,0.018,0.0,0.006,0.003,0.399,0.0,1.342,0.003,2.665,0.023,-0.021,0.003,0.511,-0.004,-0.003,0.004,0.001,0.432,-0.018,0.015,0.002,1.002,0.001,7.932,-0.0,1.595,1.516,0.003,-0.007,0.0,0.002,0.017,0.0,0.003
0.0,0.224,0.227,-0.024,-0.393,0.225,-0.4,0.0,0.002,-0.007,0.046,-0.886,0.0,0.017,0.003,0.007,-0.015,0.002,-0.0,0.034,-0.891,0.002,0.0,0.009,0.002,-0.012,0.0,0.222,0.0,0.004,1.981,0.003,0.891,-0.019,0.006,0.004,0.014,-0.894,0.027,0.002,-0.404,0.019,0.0,0.009,0.003,0.4,0.0,1.345,-0.006,2.667,-0.026,0.009,0.002,0.504,-0.002,-0.005,0.003,0.001,0.431,-0.019,0.013,0.001,1.002,0.002,7.939,0.0,1.598,1.515,0.003,0.0,0.0,0.002,0.015,-0.0,0.004
-0.0,0.224,0.229,-0.023,-0.4,0.225,-0.408,0.0,0.02,0.007,0.06,-0.883,0.0,0.033,0.008,0.009,-0.01,0.003,0.0,0.062,-0.888,0.004,0.0,0.011,0.005,-0.01,0.0,0.221,0.0,0.005,1.99,0.006,0.888,-0.017,0.007,0.009,0.031,-0.892,0.036,0.002,-0.415,0.018,0.0,0.012,0.004,0.408,0.0,1.345,0.003,2.658,0.029,-0.016,0.002,0.504,-0.008,0.038,0.004,0.002,0.432,-0.02,0.013,0.003,1.002,0.002,7.88,0.0,1.666,1.52,0.011,0.003,0.0,0.002,0.016,0.0,0.003
-0.0,0.221,0.227,-0.03,-0.402,0.221,-0.414,0.0,-0.023,-0.011,0.042,-0.874,0.0,0.013,0.003,0.01,-0.005,0.006,-0.0,0.02,-0.885,0.007,-0.0,0.01,0.01,-0.016,0.0,0.217,0.0,0.007,1.998,0.002,0.885,-0.016,0.013,0.004,-0.002,-0.893,0.028,0.005,-0.424,0.017,0.0,0.012,0.006,0.414,0.0,1.348,-0.003,2.654,0.065,-0.017,0.004,0.488,0.004,-0.006,0.006,0.002,0.432,-0.022,0.016,0.001,1.002,0.003,7.825,-0.0,1.716,1.52,0.002,0.004,0.0,0.003,0.012,0.0,0.003
0.0,0.228,0.232,-0.023,-0.396,0.228,-0.404,0.0,-0.01,0.0,0.048,-0.883,0.0,0.021,0.009,0.011,0.0,0.005,0.0,0.028,-0.888,0.007,0.0,0.015,0.006,-0.016,0.0,0.225,0.0,0.005,1.987,0.008,0.888,-0.013,0.007,0.012,0.016,-0.893,0.034,0.003,-0.411,0.015,0.0,0.012,0.004,0.404,0.0,1.342,0.001,2.66,-0.062,0.008,0.002,0.519,0.005,0.048,0.003,0.002,0.434,-0.027,0.019,0.004,1.003,0.003,7.889,-0.0,1.636,1.521,0.004,0.003,0.0,0.004,0.018,0.0,0.002
0.0,0.229,0.231,-0.023,-0.403,0.229,-0.407,0.0,-0.001,-0.008,0.045,-0.882,0.0,0.017,0.004,0.008,-0.01,0.004,0.0,0.04,-0.886,0.004,0.0,0.01,0.007,-0.015,0.0,0.226,0.0,0.003,1.989,0.003,0.886,-0.016,0.006,0.006,0.013,-0.891,0.027,0.003,-0.413,0.017,0.0,0.011,0.003,0.407,0.0,1.34,-0.003,2.656,-0.056,-0.014,0.002,0.524,0.002,-0.016,0.003,0.001,0.436,-0.022,0.016,0.002,1.002,0.002,7.857,-0.0,1.66,1.523,0.003,0.007,0.0,0.002,0.013,-0.0,0.003
