RMS_ag_x,ag_x_mean,ag_x_min,ag_x_max,E_ag_x,accl_x,E_ag_z,th_x,SVM_a,FFT_ag_y,accl_y,E_ag_y,IQR_g_x,VAR_g_x,FFT_g_x,FFT_g_y,th_z,th_y,STD_g_x,MAD_g_x,ag_y_max,RMS_ag_y,ag_y_mean,RMS_ag_z,FFT_ag_x,ag_z_max,ag_z_mean,ag_z_min,ag_y_min,VAR_ag_x,accl_z,VAR_g_z,IQR_g_z,STD_g_y,STD_ag_x,E_g_z,CM_g,MAD_ag_x,RMS_g_z,g_x_max,IQR_ag_x,MAD_g_y,SMA_a,VAR_ag_y,RMS_g_x,VAR_g_y,g_z_mean,IQR_g_y,E_g_x,g_x_min,MAD_g_z,g_z_max,STD_g_z,STD_ag_y,CM_a,MAD_ag_y,g_x_mean,g_z_min,SVM_g,FFT_g_z,IQR_ag_y,g_y_max,SMA_g,FFT_ag_z,RMS_g_y,g_y_min,STD_ag_z,IQR_ag_z,MAD_ag_z,g_y_mean,E_g_y,VAR_ag_z,jerk_x,jerk_y,jerk_z
0.896,-0.896,-0.906,-0.887,8.025,-0.0,1.518,2.676,1.003,0.001,-0.0,0.507,0.014,0.0,-0.025,-0.012,1.97,1.344,0.013,0.009,0.229,0.225,0.225,0.39,-0.013,-0.377,-0.39,-0.399,0.221,0.0,0.0,0.0,0.005,0.013,0.005,0.002,0.012,0.004,0.015,-0.003,0.005,0.01,1.511,0.0,0.02,0.0,-0.015,0.012,0.004,-0.047,0.003,-0.008,0.004,0.002,0.428,0.002,-0.015,-0.022,0.027,-0.006,0.002,0.035,0.044,0.011,0.018,-0.008,0.006,0.005,0.004,0.013,0.003,0.0,0.0,0.0,-0.0
0.895,-0.895,-0.9,-0.891,8.005,0.0,1.524,2.673,1.002,-0.003,-0.0,0.513,0.017,0.0,0.021,0.006,1.972,1.344,0.013,0.011,0.23,0.226,0.226,0.39,-0.007,-0.379,-0.39,-0.395,0.224,0.0,0.0,0.0,0.015,0.01,0.003,0.003,0.015,0.002,0.016,0.011,0.004,0.008,1.511,0.0,0.02,0.0,-0.013,0.015,0.004,-0.037,0.008,0.001,0.009,0.002,0.43,0.002,-0.015,-0.021,0.03,0.054,0.005,0.036,0.048,0.015,0.02,0.002,0.005,0.007,0.004,0.017,0.004,0.0,0.0,-0.0,-0.0
0.894,-0.894,-0.9,-0.884,7.998,0.0,1.517,2.678,1.003,0.017,-0.0,0.514,0.011,0.0,0.013,-0.013,1.969,1.344,0.009,0.007,0.238,0.227,0.227,0.39,0.028,-0.382,-0.39,-0.402,0.222,0.0,-0.0,0.0,0.011,0.011,0.005,0.006,0.014,0.004,0.025,0.002,0.006,0.007,1.51,0.0,0.015,0.0,-0.024,0.004,0.002,-0.026,0.006,-0.013,0.006,0.004,0.428,0.003,-0.012,-0.032,0.03,-0.021,0.004,0.021,0.048,-0.028,0.012,-0.022,0.005,0.004,0.004,0.006,0.002,0.0,0.0,-0.0,-0.0
0.899,-0.899,-0.902,-0.897,8.087,-0.0,1.475,2.684,1.002,0.006,-0.0,0.483,0.01,0.0,-0.033,-0.001,1.965,1.35,0.009,0.007,0.223,0.22,0.22,0.384,0.003,-0.38,-0.384,-0.386,0.217,0.0,0.0,0.0,0.01,0.009,0.002,0.005,0.011,0.001,0.023,-0.001,0.002,0.008,1.503,0.0,0.017,0.0,-0.022,0.015,0.003,-0.031,0.006,-0.01,0.007,0.002,0.423,0.002,-0.014,-0.03,0.031,-0.044,0.003,0.024,0.048,0.0,0.015,-0.001,0.002,0.002,0.002,0.012,0.002,0.0,-0.0,-0.0,0.0
0.897,-0.897,-0.905,-0.89,8.039,0.0,1.522,2.678,1.002,-0.011,0.0,0.48,0.005,0.0,0.023,0.029,1.97,1.351,0.007,0.005,0.223,0.219,0.219,0.39,-0.011,-0.383,-0.39,-0.398,0.216,0.0,0.0,0.0,0.004,0.011,0.004,0.002,0.012,0.003,0.013,0.006,0.003,0.007,1.506,0.0,0.012,0.0,-0.013,0.006,0.001,-0.02,0.004,-0.002,0.005,0.002,0.425,0.002,-0.01,-0.017,0.024,-0.004,0.004,0.05,0.042,0.011,0.022,0.006,0.005,0.005,0.004,0.019,0.005,0.0,-0.0,-0.0,-0.0
0.893,-0.893,-0.9,-0.887,7.971,0.0,1.559,2.672,1.002,-0.012,0.0,0.502,0.003,0.0,0.012,0.034,1.976,1.344,0.002,0.002,0.227,0.224,0.224,0.395,-0.015,-0.388,-0.395,-0.402,0.219,0.0,0.0,0.0,0.01,0.009,0.003,0.002,0.014,0.003,0.014,-0.011,0.003,0.008,1.512,0.0,0.015,0.0,-0.012,0.014,0.002,-0.019,0.006,-0.003,0.006,0.003,0.43,0.002,-0.015,-0.022,0.028,0.006,0.003,0.031,0.046,0.019,0.02,0.003,0.003,0.003,0.003,0.018,0.004,0.0,0.0,0.0,-0.0
0.891,-0.891,-0.897,-0.884,7.932,0.0,1.595,2.665,1.002,-0.007,0.0,0.511,0.003,0.0,-0.003,0.023,1.982,1.342,0.002,0.002,0.228,0.226,0.226,0.399,-0.004,-0.392,-0.399,-0.407,0.224,0.0,0.0,0.0,0.009,0.006,0.004,0.003,0.017,0.003,0.018,-0.012,0.004,0.005,1.516,0.0,0.015,0.0,-0.017,0.009,0.002,-0.018,0.004,-0.011,0.005,0.001,0.432,0.001,-0.015,-0.023,0.031,-0.021,0.002,0.027,0.05,0.003,0.019,0.01,0.004,0.003,0.003,0.018,0.003,0.0,0.0,-0.0,-0.0
0.891,-0.891,-0.894,-0.886,7.939,0.0,1.598,2.667,1.002,0.0,-0.0,0.504,0.004,0.0,-0.005,-0.026,1.981,1.345,0.003,0.003,0.227,0.225,0.224,0.4,-0.002,-0.393,-0.4,-0.404,0.222,0.0,0.0,0.0,0.002,0.009,0.002,0.004,0.015,0.002,0.019,-0.007,0.003,0.007,1.515,0.0,0.013,0.0,-0.019,0.009,0.002,-0.019,0.002,-0.015,0.002,0.002,0.431,0.001,-0.012,-0.024,0.027,0.009,0.001,0.034,0.046,-0.006,0.017,0.002,0.004,0.006,0.003,0.014,0.003,0.0,-0.0,0.0,0.0
0.888,-0.888,-0.892,-0.883,7.88,0.0,1.666,2.658,1.002,0.003,0.0,0.504,0.009,0.0,0.038,0.029,1.99,1.345,0.008,0.006,0.229,0.225,0.224,0.408,-0.008,-0.4,-0.408,-0.415,0.221,0.0,0.0,0.0,0.005,0.012,0.002,0.003,0.016,0.002,0.018,0.007,0.004,0.009,1.52,0.0,0.013,0.0,-0.017,0.011,0.002,-0.02,0.003,-0.01,0.004,0.002,0.432,0.002,-0.01,-0.023,0.036,-0.016,0.003,0.062,0.06,0.003,0.033,0.02,0.005,0.007,0.004,0.031,0.011,0.0,0.0,0.0,-0.0
0.885,-0.885,-0.893,-0.874,7.825,-0.0,1.716,2.654,1.002,0.004,-0.0,0.488,0.004,0.0,-0.006,0.065,1.998,1.348,0.003,0.002,0.227,0.221,0.221,0.414,0.004,-0.402,-0.414,-0.424,0.217,0.0,0.0,0.0,0.01,0.012,0.005,0.003,0.012,0.004,0.017,-0.011,0.006,0.01,1.52,0.0,0.016,0.0,-0.016,0.01,0.003,-0.022,0.006,-0.005,0.007,0.003,0.432,0.002,-0.016,-0.03,0.028,-0.017,0.001,0.02,0.042,-0.003,0.013,-0.023,0.007,0.013,0.006,-0.002,0.002,0.0,0.0,-0.0,-0.0
