ag_x,ag_y,ag_z,g_x,g_y,g_z
-0.898,0.219,-0.385,-0.019,0.001,-0.029
-0.901,0.22,-0.383,-0.011,0.007,-0.024
-0.898,0.217,-0.386,-0.012,0.005,-0.019
-0.9,0.218,-0.381,-0.015,-0.001,-0.019
-0.9,0.221,-0.385,-0.002,0.024,-0.01
-0.9,0.218,-0.385,-0.001,0.009,-0.013
-0.9,0.219,-0.384,-0.019,0.023,-0.018
-0.897,0.222,-0.385,-0.031,0.013,-0.029
-0.902,0.22,-0.38,-0.009,0.023,-0.026
-0.899,0.218,-0.384,-0.002,0.019,-0.015
-0.905,0.216,-0.383,0.006,0.05,-0.002
-0.89,0.217,-0.398,-0.012,0.017,-0.015
-0.896,0.218,-0.393,-0.02,0.006,-0.017
-0.897,0.218,-0.388,-0.013,0.017,-0.01
-0.896,0.222,-0.388,-0.012,0.017,-0.007
-0.895,0.223,-0.392,-0.007,0.019,-0.013
-0.893,0.221,-0.395,-0.012,0.009,-0.015
-0.897,0.22,-0.392,-0.009,0.021,-0.015
-0.898,0.217,-0.388,-0.014,0.011,-0.017
-0.9,0.219,-0.388,-0.011,0.031,-0.007
-0.89,0.22,-0.393,-0.012,0.024,-0.004
-0.894,0.223,-0.395,-0.017,0.025,-0.008
-0.89,0.223,-0.397,-0.014,0.024,-0.01
-0.892,0.226,-0.398,-0.014,0.027,-0.003
-0.887,0.226,-0.402,-0.018,0.008,-0.017
-0.892,0.227,-0.394,-0.019,0.003,-0.017
-0.893,0.225,-0.394,-0.016,0.01,-0.018
-0.896,0.226,-0.393,-0.015,0.012,-0.018
-0.894,0.226,-0.394,-0.014,0.018,-0.022
-0.897,0.224,-0.392,-0.014,0.022,-0.023
-0.89,0.225,-0.4,-0.012,0.027,-0.019
-0.89,0.224,-0.401,-0.015,0.023,-0.013
-0.89,0.227,-0.401,-0.016,0.024,-0.012
-0.887,0.227,-0.401,-0.014,0.011,-0.011
-0.894,0.227,-0.398,-0.012,0.01,-0.014
-0.889,0.227,-0.4,-0.013,0.016,-0.015
-0.894,0.227,-0.394,-0.018,0.015,-0.023
-0.884,0.228,-0.407,-0.016,0.017,-0.023
-0.891,0.225,-0.4,-0.018,0.013,-0.021
-0.89,0.224,-0.403,-0.013,0.014,-0.017
-0.891,0.227,-0.399,-0.012,0.002,-0.015
-0.894,0.227,-0.396,-0.01,0.003,-0.019
-0.891,0.224,-0.396,-0.015,0.011,-0.019
-0.892,0.224,-0.399,-0.019,0.016,-0.024
-0.893,0.225,-0.393,-0.007,0.034,-0.017
-0.886,0.225,-0.404,-0.01,0.007,-0.022
-0.891,0.224,-0.404,-0.01,0.017,-0.019
-0.889,0.222,-0.403,-0.011,0.021,-0.019
-0.893,0.223,-0.4,-0.017,0.015,-0.02
-0.89,0.224,-0.403,-0.009,0.026,-0.016
-0.89,0.225,-0.405,-0.009,0.021,-0.016
-0.892,0.224,-0.4,-0.012,0.026,-0.021
-0.883,0.221,-0.414,-0.016,0.024,-0.019
-0.887,0.221,-0.409,-0.02,0.028,-0.016
-0.889,0.223,-0.406,-0.016,0.026,-0.012
-0.886,0.227,-0.408,-0.018,0.02,-0.01
-0.886,0.229,-0.407,-0.006,0.038,-0.019
-0.886,0.226,-0.414,-0.003,0.039,-0.022
-0.888,0.225,-0.415,0.007,0.062,-0.023
-0.883,0.217,-0.415,-0.011,0.02,-0.022
-0.883,0.221,-0.424,-0.017,0.017,-0.019
-0.874,0.22,-0.424,-0.018,0.0,-0.03
-0.884,0.22,-0.421,-0.015,-0.012,-0.021
-0.884,0.221,-0.414,-0.018,-0.023,-0.016
-0.893,0.221,-0.407,-0.014,-0.009,-0.015
-0.878,0.218,-0.419,-0.012,-0.002,-0.009
-0.888,0.221,-0.409,-0.016,-0.01,-0.005
-0.889,0.223,-0.407,-0.018,0.001,-0.005
-0.89,0.227,-0.402,-0.022,-0.006,-0.015
-0.893,0.227,-0.398,-0.012,-0.01,-0.019
-0.886,0.225,-0.402,0.0,-0.001,0.0
-0.889,0.227,-0.401,-0.001,0.026,-0.003
-0.889,0.225,-0.406,-0.015,0.028,-0.013
-0.893,0.226,-0.396,-0.023,0.02,-0.012
-0.888,0.23,-0.404,-0.027,0.023,-0.017
-0.888,0.226,-0.409,-0.025,0.022,-0.02
-0.887,0.229,-0.408,-0.026,0.023,-0.013
-0.886,0.232,-0.409,-0.02,0.026,-0.013
-0.883,0.232,-0.411,-0.015,0.007,-0.023
-0.886,0.229,-0.406,-0.015,0.007,-0.02
-0.886,0.228,-0.41,-0.015,0.008,-0.019
-0.889,0.231,-0.404,-0.016,0.003,-0.023
-0.891,0.229,-0.404,-0.01,0.007,-0.02
-0.887,0.228,-0.403,-0.01,0.013,-0.014
-0.889,0.227,-0.405,-0.008,0.04,-0.01
-0.882,0.226,-0.413,-0.018,0.021,-0.018
-0.886,0.23,-0.41,-0.019,0.017,-0.012
-0.882,0.23,-0.411,-0.017,0.017,-0.01
-0.886,0.231,-0.408,-0.022,-0.001,-0.017
-0.888,0.231,-0.406,-0.018,0.016,-0.016
