accl_x,ag_x_max,ag_x_mean,RMS_ag_x,ag_x_min,FFT_g_x,FFT_ag_y,FFT_g_z,E_ag_x,E_ag_z,th_x,SVM_a,FFT_ag_x,IQR_g_z,accl_z,th_z,FFT_g_y,accl_y,th_y,RMS_ag_y,ag_y_mean,ag_y_max,ag_y_min,CM_a,SMA_a,STD_g_y,VAR_g_y,ag_z_min,RMS_ag_z,g_x_max,ag_z_max,ag_z_mean,CM_g,MAD_g_y,VAR_g_x,VAR_ag_y,IQR_g_x,IQR_ag_x,IQR_g_y,g_z_max,MAD_g_z,VAR_ag_x,MAD_ag_y,g_y_max,g_z_mean,STD_ag_y,g_x_min,STD_g_z,STD_g_x,IQR_ag_y,VAR_g_z,g_x_mean,MAD_g_x,MAD_ag_x,E_ag_y,E_g_x,STD_ag_x,RMS_g_x,SVM_g,RMS_g_z,g_z_min,g_y_min,E_g_z,FFT_ag_z,RMS_g_y,SMA_g,IQR_ag_z,g_y_mean,STD_ag_z,MAD_ag_z,E_g_y,jerk_z,VAR_ag_z,jerk_x,jerk_y
-0.0,-0.887,-0.896,0.896,-0.906,-0.025,0.001,-0.006,8.025,1.518,2.676,1.003,-0.013,0.005,0.0,1.97,-0.012,-0.0,1.344,0.225,0.225,0.229,0.221,0.428,1.511,0.013,0.0,-0.399,0.39,-0.003,-0.377,-0.39,0.012,0.01,0.0,0.0,0.014,0.005,0.012,-0.008,0.003,0.0,0.002,0.035,-0.015,0.002,-0.047,0.004,0.013,0.002,0.0,-0.015,0.009,0.004,0.507,0.004,0.005,0.02,0.027,0.015,-0.022,-0.008,0.002,0.011,0.018,0.044,0.005,0.013,0.006,0.004,0.003,-0.0,0.0,0.0,0.0
0.0,-0.891,-0.895,0.895,-0.9,0.021,-0.003,0.054,8.005,1.524,2.673,1.002,-0.007,0.015,0.0,1.972,0.006,-0.0,1.344,0.226,0.226,0.23,0.224,0.43,1.511,0.01,0.0,-0.395,0.39,0.011,-0.379,-0.39,0.015,0.008,0.0,0.0,0.017,0.004,0.015,0.001,0.008,0.0,0.002,0.036,-0.013,0.002,-0.037,0.009,0.013,0.005,0.0,-0.015,0.011,0.002,0.513,0.004,0.003,0.02,0.03,0.016,-0.021,0.002,0.003,0.015,0.02,0.048,0.007,0.017,0.005,0.004,0.004,-0.0,0.0,0.0,-0.0
0.0,-0.884,-0.894,0.894,-0.9,0.013,0.017,-0.021,7.998,1.517,2.678,1.003,0.028,0.011,-0.0,1.969,-0.013,-0.0,1.344,0.227,0.227,0.238,0.222,0.428,1.51,0.011,0.0,-0.402,0.39,0.002,-0.382,-0.39,0.014,0.007,0.0,0.0,0.011,0.006,0.004,-0.013,0.006,0.0,0.003,0.021,-0.024,0.004,-0.026,0.006,0.009,0.004,0.0,-0.012,0.007,0.004,0.514,0.002,0.005,0.015,0.03,0.025,-0.032,-0.022,0.006,-0.028,0.012,0.048,0.004,0.006,0.005,0.004,0.002,-0.0,0.0,0.0,-0.0
-0.0,-0.897,-0.899,0.899,-0.902,-0.033,0.006,-0.044,8.087,1.475,2.684,1.002,0.003,0.01,0.0,1.965,-0.001,-0.0,1.35,0.22,0.22,0.223,0.217,0.423,1.503,0.009,0.0,-0.386,0.384,-0.001,-0.38,-0.384,0.011,0.008,0.0,0.0,0.01,0.002,0.015,-0.01,0.006,0.0,0.002,0.024,-0.022,0.002,-0.031,0.007,0.009,0.003,0.0,-0.014,0.007,0.001,0.483,0.003,0.002,0.017,0.031,0.023,-0.03,-0.001,0.005,0.0,0.015,0.048,0.002,0.012,0.002,0.002,0.002,0.0,0.0,-0.0,-0.0
0.0,-0.89,-0.897,0.897,-0.905,0.023,-0.011,-0.004,8.039,1.522,2.678,1.002,-0.011,0.004,0.0,1.97,0.029,0.0,1.351,0.219,0.219,0.223,0.216,0.425,1.506,0.011,0.0,-0.398,0.39,0.006,-0.383,-0.39,0.012,0.007,0.0,0.0,0.005,0.003,0.006,-0.002,0.004,0.0,0.002,0.05,-0.013,0.002,-0.02,0.005,0.007,0.004,0.0,-0.01,0.005,0.003,0.48,0.001,0.004,0.012,0.024,0.013,-0.017,0.006,0.002,0.011,0.022,0.042,0.005,0.019,0.005,0.004,0.005,-0.0,0.0,-0.0,-0.0
0.0,-0.887,-0.893,0.893,-0.9,0.012,-0.012,0.006,7.971,1.559,2.672,1.002,-0.015,0.01,0.0,1.976,0.034,0.0,1.344,0.224,0.224,0.227,0.219,0.43,1.512,0.009,0.0,-0.402,0.395,-0.011,-0.388,-0.395,0.014,0.008,0.0,0.0,0.003,0.003,0.014,-0.003,0.006,0.0,0.002,0.031,-0.012,0.003,-0.019,0.006,0.002,0.003,0.0,-0.015,0.002,0.003,0.502,0.002,0.003,0.015,0.028,0.014,-0.022,0.003,0.002,0.019,0.02,0.046,0.003,0.018,0.003,0.003,0.004,-0.0,0.0,0.0,0.0
0.0,-0.884,-0.891,0.891,-0.897,-0.003,-0.007,-0.021,7.932,1.595,2.665,1.002,-0.004,0.009,0.0,1.982,0.023,0.0,1.342,0.226,0.226,0.228,0.224,0.432,1.516,0.006,0.0,-0.407,0.399,-0.012,-0.392,-0.399,0.017,0.005,0.0,0.0,0.003,0.004,0.009,-0.011,0.004,0.0,0.001,0.027,-0.017,0.001,-0.018,0.005,0.002,0.002,0.0,-0.015,0.002,0.003,0.511,0.002,0.004,0.015,0.031,0.018,-0.023,0.01,0.003,0.003,0.019,0.05,0.003,0.018,0.004,0.003,0.003,-0.0,0.0,0.0,-0.0
0.0,-0.886,-0.891,0.891,-0.894,-0.005,0.0,0.009,7.939,1.598,2.667,1.002,-0.002,0.002,0.0,1.981,-0.026,-0.0,1.345,0.225,0.224,0.227,0.222,0.431,1.515,0.009,0.0,-0.404,0.4,-0.007,-0.393,-0.4,0.015,0.007,0.0,0.0,0.004,0.003,0.009,-0.015,0.002,0.0,0.001,0.034,-0.019,0.002,-0.019,0.002,0.003,0.001,0.0,-0.012,0.003,0.002,0.504,0.002,0.002,0.013,0.027,0.019,-0.024,0.002,0.004,-0.006,0.017,0.046,0.006,0.014,0.004,0.003,0.003,0.0,0.0,-0.0,0.0
0.0,-0.883,-0.888,0.888,-0.892,0.038,0.003,-0.016,7.88,1.666,2.658,1.002,-0.008,0.005,0.0,1.99,0.029,0.0,1.345,0.225,0.224,0.229,0.221,0.432,1.52,0.012,0.0,-0.415,0.408,0.007,-0.4,-0.408,0.016,0.009,0.0,0.0,0.009,0.004,0.011,-0.01,0.003,0.0,0.002,0.062,-0.017,0.002,-0.02,0.004,0.008,0.003,0.0,-0.01,0.006,0.002,0.504,0.002,0.002,0.013,0.036,0.018,-0.023,0.02,0.003,0.003,0.033,0.06,0.007,0.031,0.005,0.004,0.011,-0.0,0.0,0.0,0.0
-0.0,-0.874,-0.885,0.885,-0.893,-0.006,0.004,-0.017,7.825,1.716,2.654,1.002,0.004,0.01,0.0,1.998,0.065,-0.0,1.348,0.221,0.221,0.227,0.217,0.432,1.52,0.012,0.0,-0.424,0.414,-0.011,-0.402,-0.414,0.012,0.01,0.0,0.0,0.004,0.006,0.01,-0.005,0.006,0.0,0.002,0.02,-0.016,0.003,-0.022,0.007,0.003,0.001,0.0,-0.016,0.002,0.004,0.488,0.003,0.005,0.016,0.028,0.017,-0.03,-0.023,0.003,-0.003,0.013,0.042,0.013,-0.002,0.007,0.006,0.002,-0.0,0.0,0.0,-0.0
