g_x_mean,accl_y,g_y_mean,jerk_z,accl_x,ag_z_min,ag_y_min,g_z_mean,SMA_g,IQR_g_z,VAR_g_x,accl_z,MAD_g_x,ag_x_mean,ag_x_max,VAR_g_y,RMS_g_z,ag_y_max,IQR_g_y,ag_y_mean,STD_ag_x,RMS_ag_z,g_z_min,STD_g_y,ag_z_max,RMS_ag_y,ag_z_mean,STD_g_x,ag_x_min,th_z,VAR_ag_z,VAR_ag_x,g_y_min,STD_g_z,g_x_max,RMS_ag_x,MAD_g_y,MAD_g_z,IQR_g_x,STD_ag_z,IQR_ag_z,SVM_g,MAD_ag_z,RMS_g_y,RMS_g_x,VAR_g_z,g_z_max,th_y,MAD_ag_x,g_y_max,th_x,FFT_ag_z,FFT_g_y,FFT_g_z,FFT_ag_x,E_ag_y,FFT_g_x,STD_ag_y,IQR_ag_x,CM_a,g_x_min,MAD_ag_y,SVM_a,IQR_ag_y,E_ag_x,E_ag_z,SMA_a,E_g_y,FFT_ag_y,jerk_y,VAR_ag_y,E_g_x,CM_g,jerk_x,E_g_z
-0.015,-0.0,0.013,-0.0,-0.0,-0.399,0.221,-0.015,0.044,0.005,0.0,0.0,0.009,-0.896,-0.887,0.0,0.015,0.229,0.012,0.225,0.005,0.39,-0.022,0.013,-0.377,0.225,-0.39,0.013,-0.906,1.97,0.0,0.0,-0.008,0.004,-0.003,0.896,0.01,0.003,0.014,0.006,0.005,0.027,0.004,0.018,0.02,0.0,-0.008,1.344,0.004,0.035,2.676,0.011,-0.012,-0.006,-0.013,0.507,-0.025,0.002,0.005,0.428,-0.047,0.002,1.003,0.002,8.025,1.518,1.511,0.003,0.001,0.0,0.0,0.004,0.012,0.0,0.002
-0.015,-0.0,0.017,-0.0,0.0,-0.395,0.224,-0.013,0.048,0.015,0.0,0.0,0.011,-0.895,-0.891,0.0,0.016,0.23,0.015,0.226,0.003,0.39,-0.021,0.01,-0.379,0.226,-0.39,0.013,-0.9,1.972,0.0,0.0,0.002,0.009,0.011,0.895,0.008,0.008,0.017,0.005,0.007,0.03,0.004,0.02,0.02,0.0,0.001,1.344,0.002,0.036,2.673,0.015,0.006,0.054,-0.007,0.513,0.021,0.002,0.004,0.43,-0.037,0.002,1.002,0.005,8.005,1.524,1.511,0.004,-0.003,-0.0,0.0,0.004,0.015,0.0,0.003
-0.012,-0.0,0.006,-0.0,0.0,-0.402,0.222,-0.024,0.048,0.011,0.0,-0.0,0.007,-0.894,-0.884,0.0,0.025,0.238,0.004,0.227,0.005,0.39,-0.032,0.011,-0.382,0.227,-0.39,0.009,-0.9,1.969,0.0,0.0,-0.022,0.006,0.002,0.894,0.007,0.006,0.011,0.005,0.004,0.03,0.004,0.012,0.015,0.0,-0.013,1.344,0.004,0.021,2.678,-0.028,-0.013,-0.021,0.028,0.514,0.013,0.004,0.006,0.428,-0.026,0.003,1.003,0.004,7.998,1.517,1.51,0.002,0.017,-0.0,0.0,0.002,0.014,0.0,0.006
-0.014,-0.0,0.012,0.0,-0.0,-0.386,0.217,-0.022,0.048,0.01,0.0,0.0,0.007,-0.899,-0.897,0.0,0.023,0.223,0.015,0.22,0.002,0.384,-0.03,0.009,-0.38,0.22,-0.384,0.009,-0.902,1.965,0.0,0.0,-0.001,0.007,-0.001,0.899,0.008,0.006,0.01,0.002,0.002,0.031,0.002,0.015,0.017,0.0,-0.01,1.35,0.001,0.024,2.684,0.0,-0.001,-0.044,0.003,0.483,-0.033,0.002,0.002,0.423,-0.031,0.002,1.002,0.003,8.087,1.475,1.503,0.002,0.006,-0.0,0.0,0.003,0.011,-0.0,0.005
-0.01,0.0,0.019,-0.0,0.0,-0.398,0.216,-0.013,0.042,0.004,0.0,0.0,0.005,-0.897,-0.89,0.0,0.013,0.223,0.006,0.219,0.004,0.39,-0.017,0.011,-0.383,0.219,-0.39,0.007,-0.905,1.97,0.0,0.0,0.006,0.005,0.006,0.897,0.007,0.004,0.005,0.005,0.005,0.024,0.004,0.022,0.012,0.0,-0.002,1.351,0.003,0.05,2.678,0.011,0.029,-0.004,-0.011,0.48,0.023,0.002,0.003,0.425,-0.02,0.002,1.002,0.004,8.039,1.522,1.506,0.005,-0.011,-0.0,0.0,0.001,0.012,-0.0,0.002
-0.015,0.0,0.018,-0.0,0.0,-0.402,0.219,-0.012,0.046,0.01,0.0,0.0,0.002,-0.893,-0.887,0.0,0.014,0.227,0.014,0.224,0.003,0.395,-0.022,0.009,-0.388,0.224,-0.395,0.002,-0.9,1.976,0.0,0.0,0.003,0.006,-0.011,0.893,0.008,0.006,0.003,0.003,0.003,0.028,0.003,0.02,0.015,0.0,-0.003,1.344,0.003,0.031,2.672,0.019,0.034,0.006,-0.015,0.502,0.012,0.003,0.003,0.43,-0.019,0.002,1.002,0.003,7.971,1.559,1.512,0.004,-0.012,0.0,0.0,0.002,0.014,0.0,0.002
-0.015,0.0,0.018,-0.0,0.0,-0.407,0.224,-0.017,0.05,0.009,0.0,0.0,0.002,-0.891,-0.884,0.0,0.018,0.228,0.009,0.226,0.004,0.399,-0.023,0.006,-0.392,0.226,-0.399,0.002,-0.897,1.982,0.0,0.0,0.01,0.005,-0.012,0.891,0.005,0.004,0.003,0.004,0.003,0.031,0.003,0.019,0.015,0.0,-0.011,1.342,0.003,0.027,2.665,0.003,0.023,-0.021,-0.004,0.511,-0.003,0.001,0.004,0.432,-0.018,0.001,1.002,0.002,7.932,1.595,1.516,0.003,-0.007,-0.0,0.0,0.002,0.017,0.0,0.003
-0.012,-0.0,0.014,0.0,0.0,-0.404,0.222,-0.019,0.046,0.002,0.0,0.0,0.003,-0.891,-0.886,0.0,0.019,0.227,0.009,0.224,0.002,0.4,-0.024,0.009,-0.393,0.225,-0.4,0.003,-0.894,1.981,0.0,0.0,0.002,0.002,-0.007,0.891,0.007,0.002,0.004,0.004,0.006,0.027,0.003,0.017,0.013,0.0,-0.015,1.345,0.002,0.034,2.667,-0.006,-0.026,0.009,-0.002,0.504,-0.005,0.002,0.003,0.431,-0.019,0.001,1.002,0.001,7.939,1.598,1.515,0.003,0.0,0.0,0.0,0.002,0.015,-0.0,0.004
-0.01,0.0,0.031,-0.0,0.0,-0.415,0.221,-0.017,0.06,0.005,0.0,0.0,0.006,-0.888,-0.883,0.0,0.018,0.229,0.011,0.224,0.002,0.408,-0.023,0.012,-0.4,0.225,-0.408,0.008,-0.892,1.99,0.0,0.0,0.02,0.004,0.007,0.888,0.009,0.003,0.009,0.005,0.007,0.036,0.004,0.033,0.013,0.0,-0.01,1.345,0.002,0.062,2.658,0.003,0.029,-0.016,-0.008,0.504,0.038,0.002,0.004,0.432,-0.02,0.002,1.002,0.003,7.88,1.666,1.52,0.011,0.003,0.0,0.0,0.002,0.016,0.0,0.003
-0.016,-0.0,-0.002,-0.0,-0.0,-0.424,0.217,-0.016,0.042,0.01,0.0,0.0,0.002,-0.885,-0.874,0.0,0.017,0.227,0.01,0.221,0.005,0.414,-0.03,0.012,-0.402,0.221,-0.414,0.003,-0.893,1.998,0.0,0.0,-0.023,0.007,-0.011,0.885,0.01,0.006,0.004,0.007,0.013,0.028,0.006,0.013,0.016,0.0,-0.005,1.348,0.004,0.02,2.654,-0.003,0.065,-0.017,0.004,0.488,-0.006,0.003,0.006,0.432,-0.022,0.002,1.002,0.001,7.825,1.716,1.52,0.002,0.004,-0.0,0.0,0.003,0.012,0.0,0.003
