t (ms),a_x,a_y,a_z,g_x,g_y,g_z
792768,-4.784,1.010,-8.320,0.004,0.023,-0.029
792871,-4.745,1.070,-8.238,0.071,-0.092,-0.028
792975,-4.896,0.982,-8.219,0.027,-0.089,-0.014
793078,-5.006,1.058,-8.236,0.019,-0.129,-0.052
793182,-5.090,0.924,-8.282,-0.015,-0.223,-0.023
793285,-5.365,0.874,-8.176,-0.095,-0.442,-0.073
793389,-5.997,0.773,-7.740,-0.056,-0.676,-0.080
793492,-6.440,0.879,-6.941,-0.077,-0.596,-0.063
793596,-6.462,1.504,-6.531,0.044,-0.172,-0.064
793699,-6.682,0.675,-6.630,-0.062,-0.029,-0.007
793803,-6.785,1.118,-6.409,-0.172,0.212,0.016
793906,-6.646,1.152,-6.898,-0.074,0.410,0.032
794010,-6.050,1.477,-7.427,0.040,0.539,0.031
794113,-5.737,1.106,-7.932,0.045,0.417,0.037
794217,-5.576,1.257,-7.970,0.062,0.295,0.037
794320,-5.306,1.243,-7.901,-0.060,0.242,0.058
794424,-4.800,1.408,-8.080,0.005,0.224,-0.020
794527,-4.978,1.202,-8.167,0.012,0.157,-0.064
794631,-4.867,1.089,-8.392,-0.083,0.072,-0.009
794734,-4.731,1.575,-8.174,0.019,0.021,-0.040
794838,-4.662,1.132,-8.277,0.091,0.079,0.005
794941,-4.741,1.144,-8.332,-0.004,0.047,-0.060
795045,-4.654,1.199,-8.322,-0.006,0.044,-0.017
795148,-4.604,1.154,-8.401,-0.043,0.035,0.009
795252,-4.554,1.190,-8.315,-0.139,0.015,-0.040
795355,-4.673,1.494,-8.440,-0.080,-0.037,-0.020
795458,-4.604,1.638,-8.363,0.021,-0.163,-0.043
795561,-4.958,1.396,-8.260,0.058,-0.379,-0.069
795664,-5.339,1.365,-8.068,-0.057,-0.524,-0.136
795767,-5.847,1.199,-7.635,0.064,-0.599,-0.082
795870,-6.385,1.305,-7.041,0.039,-0.501,-0.086
795973,-6.625,1.058,-6.539,-0.091,-0.188,-0.064
796076,-6.507,1.087,-6.558,-0.084,0.100,0.005
796179,-6.510,1.413,-6.905,-0.007,0.294,0.043
796282,-6.155,1.408,-7.159,0.055,0.514,0.060
796385,-5.729,1.425,-7.939,0.199,0.731,0.029
796488,-5.265,1.161,-8.126,0.096,0.365,0.032
796591,-4.899,1.149,-8.241,0.001,0.215,0.069
796694,-4.776,1.365,-8.236,0.029,0.193,0.005
796797,-4.724,1.233,-8.229,0.070,0.124,-0.036
796900,-4.796,1.073,-8.260,0.024,0.070,-0.048
797003,-4.623,0.941,-8.399,-0.105,0.067,0.000
797106,-4.415,1.484,-8.447,0.025,0.018,-0.058
