SVM_a,SVM_g,CM_a,CM_g,jerk_x,jerk_y,jerk_z,accl_x,accl_y,accl_z,th_x,th_y,th_z,ag_x_mean,ag_x_max,ag_x_min,ag_y_mean,ag_y_max,ag_y_min,ag_z_mean,ag_z_max,ag_z_min,g_x_mean,g_x_max,g_x_min,g_y_mean,g_y_max,g_y_min,g_z_mean,g_z_max,g_z_min,SMA_a,SMA_g,RMS_ag_x,RMS_ag_y,RMS_ag_z,RMS_g_x,RMS_g_y,RMS_g_z,MAD_ag_x,MAD_ag_y,MAD_ag_z,MAD_g_x,MAD_g_y,MAD_g_z,VAR_ag_x,VAR_ag_y,VAR_ag_z,VAR_g_x,VAR_g_y,VAR_g_z,STD_ag_x,STD_ag_y,STD_ag_z,STD_g_x,STD_g_y,STD_g_z,IQR_ag_x,IQR_ag_y,IQR_ag_z,IQR_g_x,IQR_g_y,IQR_g_z,FFT_ag_x,FFT_ag_y,FFT_ag_z,FFT_g_x,FFT_g_y,FFT_g_z,E_ag_x,E_ag_y,E_ag_z,E_g_x,E_g_y,E_g_z
1.003,0.027,0.428,0.012,0.0,0.0,-0.0,-0.0,-0.0,0.0,2.676,1.344,1.97,-0.896,-0.887,-0.906,0.225,0.229,0.221,-0.39,-0.377,-0.399,-0.015,-0.003,-0.047,0.013,0.035,-0.008,-0.015,-0.008,-0.022,1.511,0.044,0.896,0.225,0.39,0.02,0.018,0.015,0.004,0.002,0.004,0.009,0.01,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.002,0.006,0.013,0.013,0.004,0.005,0.002,0.005,0.014,0.012,0.005,-0.013,0.001,0.011,-0.025,-0.012,-0.006,8.025,0.507,1.518,0.004,0.003,0.002
1.002,0.03,0.43,0.015,0.0,-0.0,-0.0,0.0,-0.0,0.0,2.673,1.344,1.972,-0.895,-0.891,-0.9,0.226,0.23,0.224,-0.39,-0.379,-0.395,-0.015,0.011,-0.037,0.017,0.036,0.002,-0.013,0.001,-0.021,1.511,0.048,0.895,0.226,0.39,0.02,0.02,0.016,0.002,0.002,0.004,0.011,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.005,0.013,0.01,0.009,0.004,0.005,0.007,0.017,0.015,0.015,-0.007,-0.003,0.015,0.021,0.006,0.054,8.005,0.513,1.524,0.004,0.004,0.003
1.003,0.03,0.428,0.014,0.0,-0.0,-0.0,0.0,-0.0,-0.0,2.678,1.344,1.969,-0.894,-0.884,-0.9,0.227,0.238,0.222,-0.39,-0.382,-0.402,-0.012,0.002,-0.026,0.006,0.021,-0.022,-0.024,-0.013,-0.032,1.51,0.048,0.894,0.227,0.39,0.015,0.012,0.025,0.004,0.003,0.004,0.007,0.007,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.004,0.005,0.009,0.011,0.006,0.006,0.004,0.004,0.011,0.004,0.011,0.028,0.017,-0.028,0.013,-0.013,-0.021,7.998,0.514,1.517,0.002,0.002,0.006
1.002,0.031,0.423,0.011,-0.0,-0.0,0.0,-0.0,-0.0,0.0,2.684,1.35,1.965,-0.899,-0.897,-0.902,0.22,0.223,0.217,-0.384,-0.38,-0.386,-0.014,-0.001,-0.031,0.012,0.024,-0.001,-0.022,-0.01,-0.03,1.503,0.048,0.899,0.22,0.384,0.017,0.015,0.023,0.001,0.002,0.002,0.007,0.008,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.009,0.009,0.007,0.002,0.003,0.002,0.01,0.015,0.01,0.003,0.006,0.0,-0.033,-0.001,-0.044,8.087,0.483,1.475,0.003,0.002,0.005
1.002,0.024,0.425,0.012,-0.0,-0.0,-0.0,0.0,0.0,0.0,2.678,1.351,1.97,-0.897,-0.89,-0.905,0.219,0.223,0.216,-0.39,-0.383,-0.398,-0.01,0.006,-0.02,0.019,0.05,0.006,-0.013,-0.002,-0.017,1.506,0.042,0.897,0.219,0.39,0.012,0.022,0.013,0.003,0.002,0.004,0.005,0.007,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.005,0.007,0.011,0.005,0.003,0.004,0.005,0.005,0.006,0.004,-0.011,-0.011,0.011,0.023,0.029,-0.004,8.039,0.48,1.522,0.001,0.005,0.002
1.002,0.028,0.43,0.014,0.0,0.0,-0.0,0.0,0.0,0.0,2.672,1.344,1.976,-0.893,-0.887,-0.9,0.224,0.227,0.219,-0.395,-0.388,-0.402,-0.015,-0.011,-0.019,0.018,0.031,0.003,-0.012,-0.003,-0.022,1.512,0.046,0.893,0.224,0.395,0.015,0.02,0.014,0.003,0.002,0.003,0.002,0.008,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003,0.002,0.009,0.006,0.003,0.003,0.003,0.003,0.014,0.01,-0.015,-0.012,0.019,0.012,0.034,0.006,7.971,0.502,1.559,0.002,0.004,0.002
1.002,0.031,0.432,0.017,0.0,-0.0,-0.0,0.0,0.0,0.0,2.665,1.342,1.982,-0.891,-0.884,-0.897,0.226,0.228,0.224,-0.399,-0.392,-0.407,-0.015,-0.012,-0.018,0.018,0.027,0.01,-0.017,-0.011,-0.023,1.516,0.05,0.891,0.226,0.399,0.015,0.019,0.018,0.003,0.001,0.003,0.002,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.004,0.002,0.006,0.005,0.004,0.002,0.003,0.003,0.009,0.009,-0.004,-0.007,0.003,-0.003,0.023,-0.021,7.932,0.511,1.595,0.002,0.003,0.003
1.002,0.027,0.431,0.015,-0.0,0.0,0.0,0.0,-0.0,0.0,2.667,1.345,1.981,-0.891,-0.886,-0.894,0.224,0.227,0.222,-0.4,-0.393,-0.404,-0.012,-0.007,-0.019,0.014,0.034,0.002,-0.019,-0.015,-0.024,1.515,0.046,0.891,0.225,0.4,0.013,0.017,0.019,0.002,0.001,0.003,0.003,0.007,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.004,0.003,0.009,0.002,0.003,0.001,0.006,0.004,0.009,0.002,-0.002,0.0,-0.006,-0.005,-0.026,0.009,7.939,0.504,1.598,0.002,0.003,0.004
1.002,0.036,0.432,0.016,0.0,0.0,-0.0,0.0,0.0,0.0,2.658,1.345,1.99,-0.888,-0.883,-0.892,0.224,0.229,0.221,-0.408,-0.4,-0.415,-0.01,0.007,-0.02,0.031,0.062,0.02,-0.017,-0.01,-0.023,1.52,0.06,0.888,0.225,0.408,0.013,0.033,0.018,0.002,0.002,0.004,0.006,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.005,0.008,0.012,0.004,0.004,0.003,0.007,0.009,0.011,0.005,-0.008,0.003,0.003,0.038,0.029,-0.016,7.88,0.504,1.666,0.002,0.011,0.003
1.002,0.028,0.432,0.012,0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.654,1.348,1.998,-0.885,-0.874,-0.893,0.221,0.227,0.217,-0.414,-0.402,-0.424,-0.016,-0.011,-0.022,-0.002,0.02,-0.023,-0.016,-0.005,-0.03,1.52,0.042,0.885,0.221,0.414,0.016,0.013,0.017,0.004,0.002,0.006,0.002,0.01,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.003,0.007,0.003,0.012,0.007,0.006,0.001,0.013,0.004,0.01,0.01,0.004,0.004,-0.003,-0.006,0.065,-0.017,7.825,0.488,1.716,0.003,0.002,0.003
1.003,0.034,0.434,0.018,0.0,-0.0,0.0,0.0,0.0,0.0,2.66,1.342,1.987,-0.888,-0.883,-0.893,0.228,0.232,0.225,-0.404,-0.396,-0.411,-0.016,0.0,-0.027,0.016,0.028,-0.01,-0.013,0.0,-0.023,1.521,0.048,0.888,0.228,0.404,0.019,0.021,0.015,0.002,0.002,0.004,0.008,0.011,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.005,0.009,0.012,0.007,0.003,0.004,0.007,0.012,0.015,0.006,0.005,0.003,0.001,0.048,-0.062,0.008,7.889,0.519,1.636,0.004,0.004,0.002
1.002,0.027,0.436,0.013,-0.0,-0.0,0.0,0.0,0.0,0.0,2.656,1.34,1.989,-0.886,-0.882,-0.891,0.229,0.231,0.226,-0.407,-0.403,-0.413,-0.015,-0.008,-0.022,0.013,0.04,-0.001,-0.016,-0.01,-0.023,1.523,0.045,0.886,0.229,0.407,0.016,0.017,0.017,0.002,0.001,0.003,0.003,0.008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.003,0.004,0.011,0.004,0.003,0.002,0.006,0.006,0.01,0.007,0.002,0.007,-0.003,-0.016,-0.056,-0.014,7.857,0.524,1.66,0.002,0.003,0.003
1.002,0.026,0.437,0.014,-0.0,0.0,0.0,0.0,0.0,0.0,2.656,1.338,1.989,-0.886,-0.881,-0.89,0.232,0.234,0.231,-0.407,-0.403,-0.409,-0.013,-0.002,-0.018,0.013,0.024,0.001,-0.016,-0.009,-0.022,1.525,0.042,0.886,0.232,0.407,0.014,0.014,0.017,0.002,0.001,0.001,0.004,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.002,0.005,0.006,0.003,0.002,0.001,0.002,0.006,0.006,0.003,-0.009,-0.004,0.008,0.004,0.003,0.009,7.854,0.537,1.654,0.002,0.002,0.003
1.002,0.028,0.436,0.015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.657,1.34,1.989,-0.887,-0.883,-0.89,0.229,0.232,0.227,-0.406,-0.399,-0.41,-0.013,-0.005,-0.02,0.011,0.019,-0.004,-0.019,-0.014,-0.022,1.522,0.044,0.887,0.229,0.406,0.014,0.013,0.019,0.002,0.001,0.002,0.006,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.003,0.006,0.006,0.003,0.003,0.003,0.002,0.012,0.003,0.005,0.002,-0.006,-0.01,-0.017,-0.022,-0.001,7.859,0.526,1.652,0.002,0.002,0.004
1.002,0.03,0.434,0.015,-0.0,0.0,0.0,0.0,-0.0,0.0,2.657,1.342,1.989,-0.887,-0.881,-0.894,0.227,0.23,0.224,-0.407,-0.402,-0.413,-0.014,-0.003,-0.027,0.018,0.035,0.009,-0.02,-0.016,-0.026,1.521,0.053,0.887,0.227,0.407,0.016,0.02,0.02,0.003,0.001,0.003,0.005,0.007,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.004,0.006,0.009,0.004,0.004,0.001,0.005,0.005,0.008,0.005,-0.012,0.002,0.014,0.002,0.021,0.002,7.862,0.517,1.657,0.002,0.004,0.004
1.002,0.026,0.437,0.014,0.0,0.0,-0.0,0.0,-0.0,0.0,2.651,1.34,1.996,-0.883,-0.878,-0.888,0.229,0.23,0.226,-0.413,-0.406,-0.419,-0.014,-0.011,-0.018,0.015,0.02,0.012,-0.017,-0.011,-0.023,1.526,0.046,0.883,0.229,0.413,0.014,0.015,0.017,0.002,0.001,0.003,0.002,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.003,0.002,0.003,0.004,0.003,0.001,0.004,0.002,0.003,0.006,0.003,-0.004,-0.009,-0.006,0.004,0.015,7.804,0.524,1.707,0.002,0.002,0.003
1.002,0.026,0.436,0.014,-0.0,0.0,0.0,0.0,-0.0,0.0,2.65,1.342,1.997,-0.883,-0.879,-0.886,0.227,0.229,0.225,-0.415,-0.41,-0.422,-0.012,-0.006,-0.018,0.014,0.035,0.006,-0.018,-0.013,-0.023,1.525,0.044,0.883,0.227,0.415,0.013,0.016,0.018,0.001,0.001,0.002,0.003,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.003,0.003,0.008,0.003,0.002,0.002,0.004,0.004,0.004,0.005,-0.004,0.005,0.012,-0.011,-0.026,0.015,7.799,0.514,1.72,0.002,0.003,0.003
1.002,0.022,0.437,0.012,-0.0,0.0,0.0,0.0,0.0,0.0,2.648,1.342,2.0,-0.882,-0.88,-0.886,0.227,0.229,0.226,-0.416,-0.411,-0.42,-0.015,-0.01,-0.023,0.014,0.03,0.006,-0.016,-0.012,-0.022,1.526,0.044,0.882,0.227,0.416,0.015,0.015,0.016,0.002,0.001,0.001,0.003,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.002,0.003,0.007,0.003,0.004,0.002,0.001,0.003,0.008,0.004,-0.002,-0.004,-0.004,-0.015,0.039,-0.008,7.786,0.516,1.732,0.002,0.002,0.003
1.002,0.025,0.438,0.013,-0.0,0.0,0.0,0.0,-0.0,0.0,2.647,1.34,2.0,-0.881,-0.874,-0.884,0.229,0.23,0.228,-0.418,-0.413,-0.424,-0.013,-0.007,-0.021,0.013,0.029,0.003,-0.015,-0.008,-0.02,1.528,0.042,0.881,0.229,0.418,0.014,0.015,0.016,0.002,0.001,0.002,0.004,0.006,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.003,0.004,0.007,0.004,0.003,0.002,0.002,0.007,0.011,0.004,0.003,-0.004,-0.006,0.015,-0.021,0.018,7.763,0.524,1.746,0.002,0.002,0.002
