a_x,a_y,a_z,g_x,g_y,g_z
-8.799,2.409,-3.716,-0.027,0.007,-0.036
-8.813,2.389,-3.627,-0.023,-0.006,-0.027
-8.83,2.399,-3.651,-0.007,0.007,-0.019
-8.803,2.365,-3.661,-0.013,0.003,-0.026
-8.842,2.392,-3.622,-0.023,0.021,-0.028
-8.801,2.406,-3.711,-0.021,0.051,-0.025
-8.734,2.346,-3.766,-0.022,0.019,-0.039
-8.792,2.33,-3.704,-0.02,0.019,-0.034
-8.756,2.327,-3.771,-0.016,0.021,-0.029
-8.844,2.318,-3.694,-0.016,0.015,-0.031
-8.825,2.274,-3.689,-0.013,0.013,-0.023
-8.801,2.291,-3.711,-0.025,0.021,-0.012
-8.844,2.358,-3.627,-0.012,0.029,-0.015
-8.712,2.349,-3.826,-0.014,0.027,-0.017
-8.76,2.358,-3.795,-0.01,0.013,-0.025
-8.77,2.322,-3.783,-0.003,0.016,-0.031
-8.792,2.301,-3.747,-0.012,0.011,-0.024
-8.799,2.255,-3.754,-0.009,0.013,-0.021
-8.775,2.284,-3.78,-0.012,0.017,-0.015
-8.847,2.298,-3.68,-0.012,0.021,-0.017
-8.729,2.308,-3.838,-0.014,0.033,-0.013
-8.734,2.325,-3.833,-0.017,0.028,-0.017
-8.729,2.318,-3.845,-0.016,0.027,-0.021
-8.736,2.289,-3.84,-0.018,0.017,-0.02
-8.758,2.296,-3.84,-0.02,0.01,-0.021
-8.751,2.279,-3.821,-0.021,0.002,-0.019
-8.801,2.296,-3.809,-0.018,0.023,-0.008
-8.734,2.286,-3.831,-0.018,0.004,-0.012
-8.78,2.308,-3.792,-0.022,-0.011,-0.009
-8.775,2.298,-3.766,-0.02,-0.019,-0.015
-8.799,2.339,-3.697,-0.023,-0.015,-0.013
-8.758,2.38,-3.723,-0.018,0.019,-0.011
-8.765,2.385,-3.757,-0.017,0.014,-0.018
-8.763,2.356,-3.783,-0.01,0.009,-0.029
-8.83,2.32,-3.701,-0.017,-0.024,-0.029
-8.818,2.33,-3.697,-0.009,-0.033,-0.023
-8.847,2.301,-3.632,-0.011,-0.06,-0.017
-8.914,2.306,-3.522,-0.009,-0.041,-0.019
-8.899,2.32,-3.505,-0.009,0.002,-0.02
-8.894,2.303,-3.529,-0.01,0.034,-0.021
-8.825,2.289,-3.572,-0.028,0.0,-0.027
-8.878,2.277,-3.575,-0.025,0.024,-0.024
-8.842,2.303,-3.565,-0.027,0.001,-0.03
-8.923,2.33,-3.484,-0.024,0.005,-0.039
-8.89,2.284,-3.474,-0.014,-0.002,-0.033
-8.988,2.248,-3.431,-0.015,0.02,-0.027
-8.863,2.224,-3.498,-0.023,0.009,-0.03
-8.942,2.239,-3.488,-0.008,0.018,-0.023
-8.902,2.203,-3.517,-0.004,0.019,-0.009
-8.899,2.253,-3.529,-0.006,0.026,-0.003
-8.878,2.258,-3.582,-0.018,0.018,-0.012
-8.899,2.301,-3.479,0.001,0.039,-0.018
-8.849,2.251,-3.591,-0.02,0.009,-0.033
-8.935,2.234,-3.452,-0.012,0.038,-0.016
-8.866,2.234,-3.598,0.005,0.021,-0.013
-8.873,2.251,-3.56,-0.015,0.027,-0.024
-8.861,2.231,-3.63,-0.024,0.028,-0.037
-8.911,2.212,-3.536,-0.029,0.039,-0.035
-8.801,2.219,-3.682,-0.02,0.034,-0.033
-8.854,2.21,-3.663,-0.003,0.016,-0.013
-8.856,2.203,-3.654,-0.001,0.014,-0.014
-8.863,2.174,-3.639,-0.015,0.02,-0.026
-8.882,2.148,-3.68,-0.011,0.022,-0.019
-8.849,2.2,-3.644,-0.011,0.023,-0.009
-8.837,2.219,-3.764,-0.005,0.038,-0.014
-8.811,2.188,-3.721,-0.017,0.016,-0.018
-8.868,2.2,-3.718,-0.02,0.017,-0.02
-8.808,2.181,-3.73,-0.017,0.012,-0.018
-8.844,2.179,-3.704,-0.018,0.0,-0.015
-8.839,2.191,-3.687,-0.014,0.007,-0.015
-8.952,2.181,-3.555,-0.011,0.017,-0.015
-8.782,2.172,-3.704,-0.014,0.017,-0.023
-8.892,2.2,-3.634,-0.029,0.019,-0.023
-8.83,2.191,-3.706,-0.019,0.033,-0.021
-8.849,2.191,-3.706,-0.02,0.013,-0.017
-8.82,2.217,-3.723,-0.015,0.015,-0.017
-8.806,2.193,-3.74,-0.018,0.014,-0.02
-8.878,2.188,-3.642,-0.016,0.013,-0.022
-8.78,2.2,-3.768,-0.011,0.014,-0.019
-8.842,2.176,-3.711,-0.017,0.009,-0.015
-8.842,2.191,-3.718,-0.018,0.015,-0.013
-8.827,2.227,-3.699,-0.016,0.006,-0.012
-8.832,2.241,-3.723,-0.012,0.011,-0.01
-8.813,2.248,-3.701,-0.006,0.021,-0.014
-8.837,2.212,-3.68,-0.014,0.019,-0.025
-8.756,2.227,-3.852,-0.008,0.031,-0.024
-8.792,2.184,-3.792,-0.021,-0.006,-0.021
-8.827,2.16,-3.689,-0.025,0.007,-0.024
-8.82,2.172,-3.725,-0.026,0.0,-0.039
-8.842,2.215,-3.709,-0.021,0.009,-0.019
-8.861,2.236,-3.677,-0.001,0.023,0.0
-8.823,2.193,-3.692,-0.007,0.017,-0.011
-8.856,2.212,-3.742,-0.011,0.033,-0.018
-8.789,2.179,-3.759,-0.016,0.018,-0.019
-8.83,2.215,-3.757,-0.016,0.021,-0.014
-8.83,2.176,-3.752,0.005,0.043,-0.012
-8.803,2.191,-3.79,-0.019,0.023,-0.013
-8.784,2.219,-3.771,-0.018,0.012,-0.015
-8.801,2.251,-3.773,-0.017,0.013,-0.013
-8.856,2.227,-3.706,-0.007,0.029,-0.012
-8.712,2.21,-3.874,-0.015,0.011,-0.022
-8.806,2.222,-3.795,-0.017,0.014,-0.022
-8.78,2.193,-3.802,-0.013,0.015,-0.021
-8.837,2.222,-3.778,-0.012,0.014,-0.013
-8.734,2.227,-3.836,-0.007,0.021,-0.017
-8.784,2.176,-3.824,-0.015,0.003,-0.017
-8.863,2.21,-3.704,-0.017,0.022,-0.017
-8.729,2.203,-3.869,-0.012,0.014,-0.023
-8.784,2.241,-3.795,-0.001,-0.009,-0.011
-8.751,2.243,-3.78,0.015,0.003,0.008
-8.82,2.191,-3.766,-0.011,-0.016,-0.017
-8.808,2.181,-3.78,-0.028,0.023,-0.027
-8.799,2.212,-3.74,-0.04,0.021,-0.024
-8.787,2.277,-3.745,-0.022,0.015,-0.02
-8.739,2.234,-3.838,-0.012,0.001,-0.027
-8.799,2.212,-3.757,-0.015,0.025,-0.016
-8.811,2.21,-3.785,-0.015,0.023,-0.022
-8.763,2.231,-3.797,-0.016,0.011,-0.021
-8.856,2.195,-3.694,-0.013,0.009,-0.016
-8.751,2.198,-3.85,-0.012,0.018,-0.01
-8.839,2.227,-3.713,-0.019,0.015,-0.019
-8.818,2.212,-3.797,-0.018,0.032,-0.015
-8.794,2.222,-3.718,-0.018,0.009,-0.012
-8.818,2.255,-3.78,-0.011,0.017,-0.017
-8.777,2.224,-3.792,-0.021,0.023,-0.018
-8.784,2.248,-3.795,-0.019,0.014,-0.031
-8.799,2.217,-3.795,-0.006,0.018,-0.027
-8.796,2.229,-3.792,0.0,0.015,-0.014
-8.83,2.2,-3.768,-0.003,0.011,-0.024
-8.748,2.162,-3.883,-0.011,0.02,-0.028
-8.803,2.174,-3.8,-0.021,0.013,-0.023
-8.782,2.188,-3.843,-0.019,0.015,-0.018
-8.763,2.241,-3.84,-0.047,0.002,-0.022
-8.882,2.167,-3.699,-0.018,0.035,-0.008
-8.701,2.21,-3.912,-0.004,0.003,-0.012
-8.835,2.195,-3.795,-0.018,0.035,-0.014
-8.722,2.224,-3.895,-0.022,0.014,-0.016
-8.772,2.205,-3.816,-0.007,0.005,-0.013
-8.77,2.21,-3.812,-0.003,0.009,-0.014
-8.792,2.205,-3.816,-0.012,-0.008,-0.019
-8.825,2.234,-3.776,-0.004,0.016,-0.01
-8.78,2.21,-3.788,0.011,0.002,0.001
-8.756,2.219,-3.876,-0.001,0.015,-0.001
-8.827,2.195,-3.713,-0.007,0.026,-0.017
-8.746,2.239,-3.871,-0.026,0.029,-0.021
-8.736,2.241,-3.864,-0.02,0.018,-0.02
-8.748,2.248,-3.84,-0.01,0.017,-0.02
-8.775,2.2,-3.876,-0.014,0.006,-0.019
-8.801,2.21,-3.807,-0.02,0.01,-0.019
-8.796,2.2,-3.833,-0.027,0.009,-0.017
-8.775,2.26,-3.802,-0.037,0.036,0.0
-8.703,2.334,-3.941,0.002,0.021,-0.018
-8.672,2.224,-3.883,-0.015,-0.022,-0.03
-8.811,2.231,-3.795,-0.023,0.0,-0.032
-8.772,2.184,-3.814,-0.026,0.007,-0.032
-8.803,2.234,-3.785,-0.015,0.009,-0.022
-8.818,2.181,-3.79,-0.003,0.006,-0.018
-8.803,2.203,-3.797,-0.014,0.012,-0.013
-8.827,2.207,-3.745,-0.016,0.01,-0.023
-8.739,2.234,-3.824,-0.002,0.01,-0.027
-8.768,2.195,-3.828,-0.011,0.011,-0.03
-8.801,2.186,-3.783,-0.022,0.013,-0.03
-8.808,2.148,-3.771,-0.019,0.001,-0.029
-8.839,2.155,-3.754,-0.011,0.007,-0.024
-8.808,2.131,-3.788,-0.012,0.005,-0.019
-8.825,2.133,-3.74,-0.015,-0.001,-0.019
-8.823,2.167,-3.773,-0.002,0.024,-0.01
-8.823,2.14,-3.773,-0.001,0.009,-0.013
-8.823,2.145,-3.766,-0.019,0.023,-0.018
-8.794,2.176,-3.778,-0.031,0.013,-0.029
-8.849,2.162,-3.728,-0.009,0.023,-0.026
-8.813,2.136,-3.761,-0.002,0.019,-0.015
-8.873,2.114,-3.754,0.006,0.05,-0.002
-8.729,2.128,-3.905,-0.012,0.017,-0.015
-8.782,2.136,-3.852,-0.02,0.006,-0.017
-8.801,2.133,-3.809,-0.013,0.017,-0.01
-8.789,2.176,-3.809,-0.012,0.017,-0.007
-8.775,2.186,-3.847,-0.007,0.019,-0.013
-8.76,2.167,-3.871,-0.012,0.009,-0.015
-8.799,2.16,-3.845,-0.009,0.021,-0.015
-8.803,2.124,-3.809,-0.014,0.011,-0.017
-8.825,2.145,-3.807,-0.011,0.031,-0.007
-8.732,2.162,-3.857,-0.012,0.024,-0.004
-8.765,2.186,-3.876,-0.017,0.025,-0.008
-8.729,2.191,-3.898,-0.014,0.024,-0.01
-8.748,2.219,-3.903,-0.014,0.027,-0.003
-8.703,2.212,-3.946,-0.018,0.008,-0.017
-8.748,2.224,-3.859,-0.019,0.003,-0.017
-8.756,2.203,-3.859,-0.016,0.01,-0.018
-8.782,2.217,-3.857,-0.015,0.012,-0.018
-8.768,2.219,-3.867,-0.014,0.018,-0.022
-8.794,2.198,-3.84,-0.014,0.022,-0.023
-8.727,2.205,-3.919,-0.012,0.027,-0.019
-8.729,2.198,-3.934,-0.015,0.023,-0.013
-8.729,2.224,-3.929,-0.016,0.024,-0.012
-8.701,2.229,-3.934,-0.014,0.011,-0.011
-8.763,2.222,-3.907,-0.012,0.01,-0.014
-8.722,2.229,-3.924,-0.013,0.016,-0.015
-8.763,2.227,-3.864,-0.018,0.015,-0.023
-8.665,2.239,-3.991,-0.016,0.017,-0.023
-8.736,2.207,-3.919,-0.018,0.013,-0.021
-8.724,2.198,-3.953,-0.013,0.014,-0.017
-8.734,2.222,-3.91,-0.012,0.002,-0.015
-8.763,2.229,-3.881,-0.01,0.003,-0.019
-8.739,2.193,-3.888,-0.015,0.011,-0.019
-8.748,2.198,-3.915,-0.019,0.016,-0.024
-8.753,2.207,-3.857,-0.007,0.034,-0.017
-8.689,2.21,-3.962,-0.01,0.007,-0.022
-8.736,2.193,-3.958,-0.01,0.017,-0.019
-8.72,2.176,-3.95,-0.011,0.021,-0.019
-8.753,2.186,-3.922,-0.017,0.015,-0.02
-8.729,2.198,-3.95,-0.009,0.026,-0.016
-8.724,2.205,-3.97,-0.009,0.021,-0.016
-8.746,2.2,-3.919,-0.012,0.026,-0.021
-8.657,2.167,-4.058,-0.016,0.024,-0.019
-8.698,2.164,-4.01,-0.02,0.028,-0.016
-8.72,2.184,-3.982,-0.016,0.026,-0.012
-8.691,2.222,-4.005,-0.018,0.02,-0.01
-8.691,2.243,-3.991,-0.006,0.038,-0.019
-8.691,2.219,-4.063,-0.003,0.039,-0.022
-8.705,2.205,-4.073,0.007,0.062,-0.023
-8.655,2.124,-4.07,-0.011,0.02,-0.022
-8.655,2.172,-4.159,-0.017,0.017,-0.019
-8.574,2.157,-4.161,-0.018,0.0,-0.03
-8.669,2.16,-4.132,-0.015,-0.012,-0.021
-8.665,2.167,-4.058,-0.018,-0.023,-0.016
-8.758,2.167,-3.991,-0.014,-0.009,-0.015
-8.61,2.14,-4.108,-0.012,-0.002,-0.009
-8.712,2.172,-4.008,-0.016,-0.01,-0.005
-8.715,2.188,-3.994,-0.018,0.001,-0.005
-8.727,2.227,-3.946,-0.022,-0.006,-0.015
-8.758,2.229,-3.903,-0.012,-0.01,-0.019
-8.686,2.203,-3.943,0.0,-0.001,0.0
-8.72,2.224,-3.936,-0.001,0.026,-0.003
-8.717,2.203,-3.977,-0.015,0.028,-0.013
-8.76,2.215,-3.883,-0.023,0.02,-0.012
-8.71,2.258,-3.965,-0.027,0.023,-0.017
-8.708,2.217,-4.015,-0.025,0.022,-0.02
-8.698,2.246,-4.005,-0.026,0.023,-0.013
-8.689,2.272,-4.013,-0.02,0.026,-0.013
-8.655,2.274,-4.032,-0.015,0.007,-0.023
-8.691,2.246,-3.984,-0.015,0.007,-0.02
-8.689,2.239,-4.017,-0.015,0.008,-0.019
-8.722,2.263,-3.96,-0.016,0.003,-0.023
-8.739,2.246,-3.958,-0.01,0.007,-0.02
-8.703,2.236,-3.955,-0.01,0.013,-0.014
-8.72,2.227,-3.972,-0.008,0.04,-0.01
-8.65,2.212,-4.051,-0.018,0.021,-0.018
-8.686,2.258,-4.02,-0.019,0.017,-0.012
-8.645,2.251,-4.029,-0.017,0.017,-0.01
-8.686,2.27,-4.001,-0.022,-0.001,-0.017
-8.71,2.267,-3.986,-0.018,0.016,-0.016
-8.698,2.267,-3.979,-0.018,0.001,-0.015
-8.732,2.27,-3.948,-0.008,0.024,-0.009
-8.641,2.272,-4.001,-0.01,0.013,-0.015
-8.686,2.291,-3.994,-0.017,0.012,-0.018
-8.665,2.277,-4.01,-0.013,0.014,-0.019
-8.689,2.272,-4.008,-0.014,0.009,-0.018
-8.684,2.265,-3.989,-0.014,0.012,-0.018
-8.686,2.267,-3.979,-0.017,0.008,-0.022
-8.71,2.279,-3.984,-0.002,0.019,-0.014
-8.677,2.229,-3.989,-0.006,-0.004,-0.014
-8.705,2.263,-4.008,-0.013,0.01,-0.02
-8.684,2.239,-3.977,-0.019,0.011,-0.022
-8.705,2.274,-3.967,-0.019,0.009,-0.022
-8.691,2.258,-3.986,-0.008,0.014,-0.016
-8.729,2.267,-3.915,-0.005,0.017,-0.014
-8.657,2.26,-4.017,-0.006,0.013,-0.021
-8.701,2.246,-3.977,-0.016,0.011,-0.022
-8.696,2.231,-4.001,-0.019,0.019,-0.021
-8.681,2.246,-4.001,-0.02,0.012,-0.019
-8.705,2.239,-3.965,-0.013,0.013,-0.018
-8.693,2.26,-3.97,-0.009,0.011,-0.017
-8.729,2.248,-3.943,-0.003,0.035,-0.016
-8.638,2.229,-4.051,-0.014,0.009,-0.026
-8.722,2.229,-3.972,-0.013,0.012,-0.021
-8.66,2.227,-4.013,-0.01,0.013,-0.017
-8.693,2.229,-4.013,-0.016,0.016,-0.017
-8.672,2.222,-4.034,-0.021,0.022,-0.023
-8.684,2.229,-4.022,-0.027,0.017,-0.026
-8.765,2.195,-3.941,-0.016,0.035,-0.02
-8.626,2.241,-4.07,-0.014,0.016,-0.013
-8.686,2.251,-4.034,-0.014,0.013,-0.011
-8.65,2.255,-4.065,-0.013,0.02,-0.011
-8.677,2.255,-4.029,-0.018,0.013,-0.016
-8.655,2.255,-4.034,-0.012,0.013,-0.019
-8.667,2.26,-4.053,-0.011,0.012,-0.016
-8.705,2.241,-3.986,-0.012,0.015,-0.022
-8.614,2.241,-4.111,-0.011,0.02,-0.023
-8.662,2.231,-4.065,-0.017,0.014,-0.02
-8.677,2.219,-4.068,-0.013,0.015,-0.018
-8.662,2.241,-4.041,-0.015,0.007,-0.013
-8.684,2.239,-4.022,-0.013,0.01,-0.017
-8.66,2.246,-4.061,-0.01,0.014,-0.015
-8.681,2.227,-4.039,-0.011,0.015,-0.022
-8.624,2.229,-4.142,-0.006,0.035,-0.018
-8.662,2.212,-4.08,-0.016,0.012,-0.023
-8.66,2.21,-4.082,-0.011,0.017,-0.02
-8.662,2.219,-4.061,-0.01,0.006,-0.015
-8.677,2.21,-4.058,-0.013,0.013,-0.015
-8.643,2.215,-4.094,-0.018,0.014,-0.018
-8.66,2.224,-4.085,-0.023,0.017,-0.022
-8.672,2.224,-4.075,-0.014,0.03,-0.012
-8.626,2.217,-4.099,-0.015,0.006,-0.013
-8.66,2.231,-4.087,-0.012,0.011,-0.014
-8.626,2.215,-4.08,-0.016,0.006,-0.015
-8.662,2.248,-4.073,-0.014,0.007,-0.016
-8.641,2.234,-4.075,-0.01,0.011,-0.015
-8.665,2.248,-4.075,-0.012,0.01,-0.016
-8.686,2.219,-4.029,-0.013,0.014,-0.02
-8.626,2.217,-4.118,-0.018,0.023,-0.019
-8.65,2.236,-4.099,-0.018,0.017,-0.016
-8.662,2.239,-4.085,-0.007,0.017,-0.008
-8.633,2.239,-4.106,-0.011,0.006,-0.009
-8.669,2.251,-4.092,-0.015,0.013,-0.015
-8.657,2.246,-4.075,-0.018,0.017,-0.019
-8.645,2.258,-4.082,-0.021,0.015,-0.02
-8.669,2.255,-4.051,-0.01,0.029,-0.016
-8.571,2.241,-4.154,-0.015,0.006,-0.019
-8.617,2.248,-4.123,-0.01,0.007,-0.015
-8.629,2.248,-4.096,-0.009,0.003,-0.014
-8.665,2.241,-4.053,-0.013,-0.004,-0.015
-8.667,2.26,-4.058,-0.011,0.004,-0.016
-8.657,2.246,-4.041,-0.013,0.008,-0.018
-8.677,2.263,-4.046,-0.014,0.012,-0.018
-8.672,2.241,-4.089,-0.01,0.032,-0.013
-8.631,2.227,-4.073,-0.019,0.008,-0.019
-8.672,2.207,-4.065,-0.022,0.01,-0.02
-8.633,2.236,-4.113,-0.028,0.008,-0.014
-8.672,2.26,-4.065,-0.028,0.006,-0.014
-8.655,2.27,-4.046,-0.017,0.003,-0.008
-8.667,2.284,-4.025,-0.017,0.002,-0.007
-8.691,2.296,-3.972,-0.015,0.012,-0.014
-8.614,2.308,-4.061,-0.011,0.013,-0.017
-8.669,2.298,-4.022,-0.016,0.01,-0.016
-8.667,2.296,-4.015,-0.014,0.012,-0.019
-8.679,2.294,-4.01,-0.015,0.003,-0.02
-8.674,2.286,-4.017,-0.015,0.006,-0.022
-8.674,2.26,-4.005,-0.011,0.002,-0.015
-8.672,2.279,-4.013,-0.017,0.005,-0.015
-8.689,2.286,-4.02,-0.014,0.015,-0.013
-8.638,2.272,-4.015,-0.018,-0.015,-0.018
-8.674,2.284,-3.97,-0.011,-0.016,-0.011
-8.65,2.26,-3.991,-0.019,-0.016,-0.003
-8.727,2.325,-3.915,-0.031,-0.025,-0.013
-8.727,2.31,-3.847,-0.036,-0.023,-0.025
-8.741,2.361,-3.809,-0.034,-0.022,-0.019
-8.77,2.368,-3.723,-0.027,-0.019,-0.021
-8.724,2.358,-3.819,-0.022,-0.013,-0.023
-8.811,2.337,-3.735,-0.015,-0.023,-0.023
-8.839,2.339,-3.735,-0.003,-0.015,-0.011
-8.873,2.239,-3.692,-0.007,-0.018,-0.006
-8.76,2.263,-3.62,-0.032,0.005,0.011
-8.684,2.409,-3.615,-0.05,-0.009,-0.011
-8.83,2.397,-3.529,-0.067,-0.042,-0.048
-8.966,2.437,-3.424,-0.059,-0.001,-0.021
-8.868,2.523,-3.421,-0.012,0.008,-0.006
-8.964,2.571,-3.56,-0.026,0.034,-0.034
-8.961,2.387,-3.5,0.001,0.06,-0.045
-8.459,2.131,-3.735,0.025,0.116,-0.018
-8.777,2.325,-3.893,0.001,-0.056,-0.003
-9.002,2.392,-3.448,0.023,-0.004,-0.007
-8.586,2.301,-3.843,0.042,0.022,0.005
-8.93,2.267,-3.622,-0.02,-0.034,-0.02
-8.933,2.368,-3.618,-0.021,0.051,-0.007
-8.696,2.447,-3.757,-0.006,0.031,-0.005
-8.839,2.447,-3.555,-0.007,-0.003,-0.036
-8.724,2.339,-3.596,0.019,0.028,-0.025
-8.899,2.33,-3.651,0.024,0.036,-0.018
-8.753,2.219,-3.836,0.007,0.067,-0.045
-8.684,2.172,-3.91,-0.05,0.05,-0.055
-8.825,2.26,-3.754,-0.056,0.009,-0.038
-8.808,2.272,-3.745,-0.016,0.013,-0.019
-8.777,2.356,-3.816,0.003,0.022,0.002
-8.717,2.346,-3.826,0.011,0.042,-0.011
-8.736,2.195,-3.795,-0.009,0.025,-0.04
-8.825,2.219,-3.816,-0.026,0.045,-0.06
-8.617,2.231,-3.965,0.01,0.051,-0.026
-8.815,2.239,-3.998,0.026,-0.007,-0.015
-8.724,2.162,-3.871,0.019,0.04,0.0
-8.691,2.157,-3.967,-0.029,0.025,-0.041
-8.803,2.133,-3.917,-0.029,0.029,-0.051
-8.753,2.124,-3.898,-0.005,0.036,-0.03
-8.763,2.107,-4.015,-0.027,0.034,-0.018
-8.574,2.179,-4.089,-0.015,0.051,-0.021
-8.717,2.076,-4.082,-0.006,0.006,-0.029
-8.679,2.133,-4.046,-0.007,0.029,0.001
-8.636,2.126,-4.073,-0.006,0.006,-0.009
-8.693,2.138,-4.044,-0.005,-0.007,-0.01
-8.636,2.167,-4.125,-0.002,0.005,-0.012
-8.734,2.114,-3.996,-0.029,-0.019,-0.033
-8.753,2.102,-3.931,-0.027,-0.017,-0.027
-8.765,2.112,-3.934,-0.011,-0.002,-0.008
-8.77,2.119,-3.893,-0.007,-0.002,-0.009
-8.772,2.124,-3.905,-0.016,0.015,-0.011
-8.741,2.155,-3.946,-0.033,0.025,-0.02
-8.787,2.152,-3.871,-0.032,0.029,-0.021
-8.655,2.172,-4.037,-0.016,0.028,-0.01
-8.734,2.186,-3.979,-0.01,0.022,-0.014
-8.703,2.145,-4.01,-0.014,0.017,-0.017
-8.722,2.145,-3.962,-0.022,0.012,-0.017
-8.693,2.155,-4.029,-0.015,0.017,-0.015
-8.756,2.203,-3.948,-0.015,0.01,-0.01
-8.741,2.179,-3.917,-0.028,-0.004,-0.021
-8.837,2.16,-3.84,-0.018,0.029,-0.007
-8.636,2.207,-4.039,-0.002,0.036,-0.01
-8.677,2.205,-4.025,-0.005,0.023,-0.01
-8.662,2.174,-4.065,-0.012,0.028,-0.013
-8.66,2.186,-4.051,-0.031,0.007,-0.022
-8.686,2.222,-4.041,-0.027,0.011,-0.026
-8.657,2.195,-4.037,-0.019,0.002,-0.017
-8.693,2.205,-4.003,-0.018,0.0,-0.015
-8.701,2.195,-4.025,-0.016,0.014,-0.015
-8.708,2.186,-3.967,-0.027,-0.01,-0.018
-8.732,2.205,-3.929,-0.015,0.006,-0.015
-8.696,2.222,-3.97,-0.012,-0.002,-0.011
-8.722,2.231,-3.943,-0.009,0.006,-0.012
-8.736,2.219,-3.91,-0.01,0.009,-0.018
-8.734,2.227,-3.941,-0.007,0.022,-0.017
-8.736,2.205,-3.905,-0.011,0.007,-0.019
-8.657,2.188,-4.029,-0.012,0.022,-0.015
-8.72,2.207,-3.965,-0.017,0.015,-0.011
-8.703,2.227,-3.958,-0.016,0.017,-0.013
-8.703,2.239,-3.967,-0.017,0.006,-0.013
-8.712,2.234,-3.96,-0.015,0.01,-0.018
-8.686,2.241,-3.95,-0.014,0.008,-0.021
-8.746,2.227,-3.919,-0.009,0.011,-0.023
-8.648,2.258,-4.046,-0.007,0.023,-0.02
-8.686,2.069,-4.113,0.007,0.073,-0.001
