t (ms),a_x,a_y,a_z,g_x,g_y,g_z
49383,-6.112,2.224,-7.326,-0.015,0.013,-0.017
49486,-6.093,2.224,-7.333,-0.018,0.018,-0.018
49589,-6.074,2.243,-7.36,-0.016,0.019,-0.017
49692,-6.062,2.267,-7.35,-0.015,0.019,-0.02
49795,-6.072,2.236,-7.357,-0.021,0.013,-0.022
49898,-6.079,2.248,-7.377,-0.024,0.023,-0.019
50001,-6.088,2.234,-7.341,-0.021,0.012,-0.02
50103,-6.036,2.267,-7.377,-0.022,0.014,-0.025
50206,-6.062,2.241,-7.377,-0.02,0.018,-0.026
50309,-6.067,2.248,-7.372,-0.018,0.017,-0.018
50412,-6.062,2.241,-7.362,-0.017,0.022,-0.016
50514,-6.043,2.272,-7.367,-0.013,0.024,-0.019
50617,-6.055,2.263,-7.377,-0.009,0.015,-0.016
50720,-6.041,2.282,-7.362,-0.008,0.014,-0.017
50823,-6.019,2.248,-7.377,-0.016,0.01,-0.019
50926,-6.065,2.255,-7.353,-0.015,0.013,-0.018
51029,-6.055,2.263,-7.377,-0.019,0.013,-0.017
51131,-6.038,2.258,-7.369,-0.017,0.009,-0.017
51234,-6.053,2.265,-7.372,-0.013,0.006,-0.013
51337,-6.053,2.253,-7.367,-0.01,0.009,-0.014
51440,-6.069,2.267,-7.369,-0.013,0.01,-0.016
51543,-6.055,2.243,-7.333,-0.013,0.011,-0.019
51646,-6.06,2.265,-7.384,-0.017,0.019,-0.022
51749,-6.079,2.255,-7.362,-0.014,0.012,-0.017
51852,-6.072,2.251,-7.341,-0.012,0.013,-0.015
51954,-6.043,2.253,-7.355,-0.009,0.011,-0.014
52057,-6.045,2.255,-7.386,-0.014,0.011,-0.018
52159,-6.06,2.258,-7.348,-0.014,0.009,-0.016
52262,-6.069,2.26,-7.348,-0.014,0.012,-0.018
52364,-6.057,2.267,-7.369,-0.018,0.017,-0.018
52467,-6.067,2.255,-7.35,-0.012,0.017,-0.016
52570,-6.024,2.248,-7.374,-0.015,0.017,-0.018
52673,-6.065,2.263,-7.36,-0.013,0.018,-0.018
52775,-6.053,2.274,-7.345,-0.011,0.019,-0.013
52878,-6.026,2.258,-7.391,-0.012,0.018,-0.013
52980,-6.043,2.263,-7.381,-0.012,0.014,-0.013
53083,-6.045,2.265,-7.369,-0.014,0.017,-0.017
53186,-6.033,2.265,-7.374,-0.015,0.014,-0.017
53288,-6.026,2.26,-7.384,-0.015,0.014,-0.016
53391,-6.043,2.253,-7.389,-0.015,0.015,-0.019
53494,-6.026,2.274,-7.415,-0.012,0.025,-0.017
53597,-6.017,2.258,-7.384,-0.013,0.01,-0.017
53700,-5.995,2.263,-7.398,-0.012,0.017,-0.018
53803,-6.014,2.265,-7.405,-0.015,0.015,-0.019
53906,-6.007,2.251,-7.4,-0.016,0.012,-0.019
54009,-6.026,2.26,-7.384,-0.016,0.012,-0.019
54112,-6.026,2.26,-7.391,-0.016,0.01,-0.019
54215,-6.026,2.258,-7.381,-0.015,0.012,-0.017
54317,-6.026,2.251,-7.369,-0.015,0.011,-0.019
54419,-6.002,2.272,-7.398,-0.013,0.017,-0.019
54521,-6.033,2.267,-7.384,-0.013,0.009,-0.019
54623,-6.021,2.251,-7.386,-0.015,0.015,-0.017
54726,-6.007,2.263,-7.391,-0.014,0.014,-0.019
54829,-6.014,2.282,-7.4,-0.013,0.014,-0.016
54932,-6.019,2.279,-7.379,-0.011,0.013,-0.014
55034,-6.019,2.27,-7.374,-0.013,0.012,-0.016
55137,-6.019,2.274,-7.396,-0.017,0.014,-0.018
55239,-6.029,2.282,-7.4,-0.016,0.018,-0.017
55341,-5.99,2.282,-7.403,-0.011,0.009,-0.017
55444,-6.002,2.263,-7.379,-0.016,0.015,-0.021
55547,-6.043,2.243,-7.381,-0.016,0.014,-0.018
55649,-6.017,2.272,-7.372,-0.013,0.014,-0.017
55752,-6.009,2.26,-7.4,-0.014,0.013,-0.017
55855,-6.007,2.27,-7.384,-0.015,0.014,-0.018
55958,-6.021,2.272,-7.403,-0.015,0.015,-0.018
56060,-6.024,2.267,-7.391,-0.015,0.014,-0.017
56163,-6.014,2.282,-7.424,-0.014,0.021,-0.015
56265,-5.997,2.267,-7.384,-0.013,0.009,-0.017
56368,-5.99,2.27,-7.396,-0.013,0.013,-0.018
56470,-6.026,2.265,-7.41,-0.013,0.012,-0.017
56573,-6.002,2.277,-7.412,-0.012,0.013,-0.017
56676,-6.012,2.265,-7.386,-0.014,0.013,-0.019
56779,-6.002,2.274,-7.398,-0.014,0.014,-0.018
56882,-5.995,2.267,-7.377,-0.014,0.015,-0.017
56985,-5.997,2.267,-7.408,-0.015,0.013,-0.018
57088,-6.029,2.284,-7.398,-0.013,0.02,-0.015
57191,-5.986,2.263,-7.42,-0.014,0.015,-0.017
57294,-6,2.272,-7.412,-0.015,0.013,-0.019
57397,-6.019,2.282,-7.403,-0.014,0.012,-0.018
57500,-5.993,2.272,-7.393,-0.015,0.012,-0.016
57603,-5.997,2.265,-7.415,-0.014,0.011,-0.017
57705,-6.007,2.267,-7.396,-0.014,0.013,-0.019
57808,-6.012,2.258,-7.393,-0.017,0.014,-0.017
57910,-5.995,2.27,-7.396,-0.015,0.013,-0.018
58013,-6.026,2.282,-7.379,-0.011,0.015,-0.016
58116,-5.974,2.255,-7.405,-0.014,0.014,-0.019
58218,-6,2.289,-7.41,-0.012,0.015,-0.018
58320,-6.002,2.289,-7.408,-0.014,0.017,-0.017
58423,-5.974,2.27,-7.408,-0.016,0.012,-0.017
58525,-5.978,2.265,-7.41,-0.016,0.011,-0.018
58628,-6.019,2.267,-7.396,-0.014,0.013,-0.018
58731,-6.005,2.267,-7.393,-0.014,0.012,-0.016
58833,-5.983,2.267,-7.396,-0.014,0.014,-0.018
58936,-6.007,2.26,-7.405,-0.014,0.011,-0.019
59039,-6.005,2.267,-7.432,-0.015,0.021,-0.017
59142,-5.983,2.265,-7.415,-0.011,0.01,-0.017
59245,-5.995,2.279,-7.4,-0.013,0.013,-0.018
59347,-6.017,2.263,-7.41,-0.015,0.014,-0.019
59450,-5.995,2.279,-7.42,-0.014,0.014,-0.017
59552,-6.005,2.258,-7.386,-0.014,0.013,-0.018
59654,-6.007,2.277,-7.398,-0.014,0.013,-0.016
59756,-6.014,2.234,-7.374,-0.017,0.015,-0.017
59859,-5.995,2.289,-7.396,-0.015,0.014,-0.021
59962,-5.99,2.253,-7.408,-0.016,0.008,-0.019
60065,-5.976,2.267,-7.432,-0.012,0.017,-0.018
60168,-6.005,2.26,-7.391,-0.013,0.014,-0.019
60271,-5.986,2.248,-7.4,-0.014,0.013,-0.019
60374,-5.981,2.265,-7.417,-0.013,0.014,-0.017
60477,-5.995,2.258,-7.405,-0.015,0.015,-0.016
60579,-5.995,2.26,-7.403,-0.016,0.011,-0.019
60682,-5.99,2.26,-7.393,-0.018,0.011,-0.021
60785,-5.981,2.272,-7.408,-0.014,0.013,-0.017
60888,-6,2.253,-7.403,-0.015,0.01,-0.018
60990,-5.99,2.27,-7.427,-0.014,0.017,-0.018
61092,-5.986,2.282,-7.41,-0.013,0.01,-0.018
61194,-5.983,2.277,-7.412,-0.013,0.013,-0.018
61297,-5.993,2.258,-7.422,-0.013,0.014,-0.017
61399,-5.981,2.279,-7.427,-0.014,0.014,-0.018
61502,-6.005,2.263,-7.398,-0.014,0.013,-0.018
