t (ms),a_x,a_y,a_z,g_x,g_y,g_z
88043,-8.966,2.437,-3.424,-0.059,-0.001,-0.021
88146,-8.868,2.523,-3.421,-0.012,0.008,-0.006
88249,-8.964,2.571,-3.56,-0.026,0.034,-0.034
88352,-8.961,2.387,-3.5,0.001,0.06,-0.045
88455,-8.459,2.131,-3.735,0.025,0.116,-0.018
88558,-8.777,2.325,-3.893,0.001,-0.056,-0.003
88660,-9.002,2.392,-3.448,0.023,-0.004,-0.007
88763,-8.586,2.301,-3.843,0.042,0.022,0.005
88866,-8.93,2.267,-3.622,-0.02,-0.034,-0.02
88969,-8.933,2.368,-3.618,-0.021,0.051,-0.007
89072,-8.696,2.447,-3.757,-0.006,0.031,-0.005
89175,-8.839,2.447,-3.555,-0.007,-0.003,-0.036
89278,-8.724,2.339,-3.596,0.019,0.028,-0.025
89381,-8.899,2.33,-3.651,0.024,0.036,-0.018
89484,-8.753,2.219,-3.836,0.007,0.067,-0.045
89587,-8.684,2.172,-3.91,-0.05,0.05,-0.055
89690,-8.825,2.26,-3.754,-0.056,0.009,-0.038
89793,-8.808,2.272,-3.745,-0.016,0.013,-0.019
89895,-8.777,2.356,-3.816,0.003,0.022,0.002
89998,-8.717,2.346,-3.826,0.011,0.042,-0.011
90101,-8.736,2.195,-3.795,-0.009,0.025,-0.04
90204,-8.825,2.219,-3.816,-0.026,0.045,-0.06
90306,-8.617,2.231,-3.965,0.01,0.051,-0.026
90409,-8.815,2.239,-3.998,0.026,-0.007,-0.015
90512,-8.724,2.162,-3.871,0.019,0.04,0
